;ID;Genero;Edad;Profesion;Experiencia laboral;Gastoscore;Family_Size;Generacion;Ingresos anuales brutos;Provincia;Digital_encuesta;Gasto_medio_mensual_cuota;Abandono;Dias_cliente
125;CLI127;0;30;6;2;1;2;3;25210;16;1.238;30;0;476
126;CLI128;0;46;4;0;1;1;1;37207;10;1.443;30;0;410
127;CLI129;1;79;0;0;2;2;0;76162;43;0.681;50;1;370
128;CLI130;0;31;4;2;1;2;3;26401;33;1.031;30;0;202
129;CLI131;1;39;7;1;1;5;3;20825;49;1.813;30;0;162
130;CLI132;1;43;2;0;0;5;3;102501;48;0.916;30;0;224
131;CLI133;0;76;8;0;0;2;1;126886;44;0.779;50;0;70
132;CLI134;1;20;3;2;1;4;2;16116;36;14.085;30;0;465
133;CLI135;1;51;0;0;1;1;1;52430;16;0.642;50;0;457
134;CLI136;0;55;4;0;0;2;1;123559;46;0.935;50;0;468
135;CLI137;1;33;2;1;1;5;3;19725;13;1.629;30;1;113
136;CLI138;0;45;0;0;1;2;1;93183;47;1.652;120;0;90
137;CLI139;0;43;0;0;1;4;3;44048;19;1.859;30;1;246
138;CLI140;0;32;6;1;1;4;3;18393;30;1.537;30;0;53
139;CLI141;0;41;0;1;1;4;3;26460;26;1.054;30;0;67
140;CLI142;0;43;4;0;2;2;3;22281;20;1.721;30;0;170
141;CLI143;0;53;0;0;2;5;1;113361;34;0.72;30;0;49
142;CLI144;0;35;5;1;1;3;3;25568;33;1.583;30;0;499
143;CLI145;1;86;8;0;1;1;0;70379;24;0.915;30;0;255
144;CLI146;0;47;4;0;2;5;1;21950;25;0.564;30;0;596
145;CLI147;1;32;6;1;1;5;3;28472;21;1.744;30;0;564
146;CLI148;0;31;4;2;2;2;3;22265;16;1.951;30;1;248
147;CLI149;1;88;8;0;1;1;0;124934;15;0.837;50;0;442
148;CLI150;0;31;3;2;1;4;3;19619;3;1.376;30;1;361
149;CLI151;1;78;0;0;2;3;1;87130;31;0.896;80;0;276
150;CLI152;1;74;8;0;0;9;1;72312;41;1.091;30;1;363
151;CLI153;0;29;4;2;1;1;3;30607;31;2.961;30;1;176
152;CLI154;0;52;4;0;2;2;1;66892;16;1.306;50;1;169
153;CLI155;0;47;0;0;2;2;1;84769;44;1.717;50;0;477
154;CLI156;0;30;3;2;1;4;3;18748;36;1.698;30;0;97
155;CLI157;0;50;6;0;1;4;1;63734;17;1.58;80;0;126
156;CLI158;1;84;2;0;1;1;0;53698;37;0.974;30;0;259
157;CLI159;0;47;0;0;2;4;1;21366;13;1.502;30;0;569
158;CLI160;0;86;8;0;0;2;0;44132;28;0.564;50;1;301
159;CLI161;1;39;0;1;2;3;3;28417;13;2.066;30;1;152
160;CLI162;0;54;0;0;1;1;1;124487;27;0.876;50;0;166
161;CLI163;0;28;3;2;1;5;3;18643;5;1.995;30;0;348
162;CLI164;1;41;2;1;2;5;3;44300;26;1.491;30;0;368
163;CLI165;0;35;3;1;1;5;3;20220;37;1.261;30;0;276
164;CLI166;1;66;5;0;2;2;1;49821;27;1.404;50;0;430
165;CLI167;0;50;0;0;2;3;1;22711;35;1.561;30;1;190
166;CLI168;0;54;1;0;2;3;1;53234;19;0.564;30;0;425
167;CLI169;1;35;0;1;1;5;3;19156;29;1.583;30;0;54
168;CLI170;0;44;0;0;1;3;1;22265;34;1.169;30;0;63
169;CLI171;1;65;0;0;2;2;1;22607;15;1.346;30;0;208
170;CLI172;1;53;0;0;1;5;1;37965;17;0.72;30;1;308
171;CLI173;1;90;2;0;0;2;0;62419;46;1.17;50;0;382
172;CLI174;0;77;8;0;1;2;1;29465;46;1.228;30;0;253
173;CLI175;1;34;0;1;1;2;3;18697;48;1.353;30;1;230
174;CLI176;0;79;8;0;0;2;0;62399;3;1.737;50;1;138
175;CLI177;1;55;0;0;2;4;1;86180;45;0.74;80;0;330
176;CLI178;0;25;4;2;1;1;2;28548;28;2.306;30;0;489
177;CLI179;0;22;3;2;1;6;2;19365;37;3.099;30;0;517
178;CLI180;0;24;3;2;1;3;2;21141;22;2.168;30;0;411
179;CLI181;0;34;4;1;1;1;3;27658;25;0.755;30;0;128
180;CLI182;0;40;0;1;2;2;3;34364;1;0.778;30;0;482
181;CLI183;1;57;7;0;2;5;1;120574;17;1.678;200;0;508
182;CLI184;0;32;0;1;1;1;3;21687;25;0.732;30;0;439
183;CLI185;1;44;0;0;2;4;1;116326;37;1.1;30;0;320
184;CLI186;0;44;0;0;1;1;1;90572;25;1.675;50;0;441
185;CLI187;1;42;0;0;1;2;3;21506;22;1.307;30;0;527
186;CLI188;0;94;8;0;1;1;0;67106;36;0.935;30;1;264
187;CLI189;0;23;5;2;1;3;2;13284;2;2.754;30;0;259
188;CLI190;0;45;4;0;2;2;1;79451;40;1.008;120;0;146
189;CLI191;1;44;0;0;1;2;1;123254;2;1.146;50;0;100
190;CLI192;1;58;0;0;2;3;1;94980;14;1.287;80;1;172
191;CLI193;0;46;0;0;1;2;1;25715;16;15.215;30;0;306
192;CLI194;1;46;2;0;1;2;1;76575;44;1.306;120;1;104
193;CLI195;1;53;0;0;2;4;1;78640;45;1.052;80;0;266
194;CLI196;1;65;0;0;1;2;1;52301;14;1.737;50;0;564
195;CLI197;1;45;2;0;2;3;1;118305;14;1.744;30;0;512
196;CLI198;0;34;0;1;2;2;3;30375;43;1.514;30;1;148
197;CLI199;0;54;0;0;0;5;1;111245;32;1.678;30;1;140
198;CLI200;1;74;2;0;1;2;1;112983;44;0.759;50;0;475
199;CLI201;1;39;0;1;2;2;3;23791;13;0.939;30;0;497
200;CLI202;0;29;3;2;1;3;3;21493;16;1.685;30;0;195
201;CLI203;1;21;3;2;1;3;2;18379;34;1.788;30;1;344
202;CLI204;0;28;4;2;2;8;3;24677;23;1.788;30;0;141
203;CLI205;0;43;3;0;1;2;3;119370;46;1.491;50;1;182
204;CLI206;1;69;7;0;1;2;1;67990;49;1.091;50;0;330
205;CLI207;1;25;3;2;1;3;2;25792;27;2.306;30;0;130
206;CLI208;0;25;3;2;1;3;2;25123;47;2.306;30;0;516
207;CLI209;0;58;0;0;1;1;1;75114;45;0.7;50;1;240
208;CLI210;1;36;5;1;1;2;3;22309;17;0.801;30;0;515
209;CLI211;0;55;4;0;2;4;1;42798;12;0.818;30;1;141
210;CLI212;0;76;4;0;1;2;1;116292;23;1.033;50;1;366
211;CLI213;1;41;0;1;1;1;3;111610;5;1.238;50;0;53
212;CLI214;0;22;6;2;1;4;2;19315;28;2.409;30;0;238
213;CLI215;0;94;8;0;0;1;0;83312;37;0.955;120;0;288
214;CLI216;0;54;5;0;2;4;1;21962;45;1.424;30;0;379
215;CLI217;1;20;3;2;1;3;2;13516;31;1.719;30;0;277
216;CLI218;0;57;5;0;2;2;1;44875;14;1.385;50;1;138
217;CLI219;1;28;5;2;2;2;3;25044;34;1.374;30;1;112
218;CLI220;1;62;2;0;0;2;1;28075;46;1.639;30;0;238
219;CLI221;1;68;8;0;1;1;1;127188;0;0.974;50;0;506
220;CLI222;0;39;0;1;1;3;3;25028;5;1.123;30;0;226
221;CLI223;1;31;4;2;2;2;3;23023;39;1.56;30;0;364
222;CLI224;0;31;0;2;1;3;3;21556;37;1.468;30;0;282
223;CLI225;1;22;3;2;1;5;2;15005;49;1.236;30;0;321
224;CLI226;0;30;1;2;1;1;3;29143;49;1.031;30;0;532
225;CLI227;0;62;4;0;1;1;1;69229;30;1.326;30;0;521
226;CLI228;1;50;0;0;2;4;1;48692;35;0.72;30;0;583
227;CLI229;1;28;3;2;1;4;3;23938;17;1.512;30;0;33
228;CLI230;1;44;6;0;1;1;1;47218;41;1.077;30;1;279
229;CLI231;0;28;3;2;1;2;3;19509;2;1.305;30;0;411
230;CLI232;0;81;8;0;0;2;0;64200;11;1.697;30;0;428
231;CLI233;0;25;3;2;1;4;2;30810;17;2.927;30;0;343
232;CLI234;0;74;8;0;0;2;1;32234;18;0.583;30;0;299
233;CLI235;1;23;3;2;1;4;2;18209;17;2.133;30;0;256
234;CLI236;0;42;0;0;1;1;3;50413;4;0.709;50;0;308
235;CLI237;1;31;3;2;1;4;3;18631;37;1.698;30;1;126
236;CLI238;0;35;3;1;1;5;3;23024;9;1.077;30;0;99
237;CLI239;0;36;8;1;1;4;3;28874;9;1.307;30;1;127
238;CLI240;0;62;8;0;0;4;1;60382;30;1.678;30;0;405
239;CLI241;0;58;0;0;1;2;1;41277;11;0.661;50;0;370
240;CLI242;1;63;2;0;0;5;1;83097;8;1.404;30;0;569
241;CLI243;0;65;0;0;2;3;1;66869;46;0.681;80;1;210
242;CLI244;0;28;3;2;0;4;3;31045;1;2.03;30;0;273
243;CLI245;1;65;0;0;2;6;1;84463;9;1.6;30;0;284
244;CLI246;0;40;0;1;1;4;3;81229;9;1.169;30;0;150
245;CLI247;1;41;7;1;1;2;3;119717;34;1.629;50;0;120
246;CLI248;1;24;5;2;1;3;2;20248;35;13.395;30;0;430
247;CLI249;1;47;0;0;1;2;1;69591;43;1.424;50;0;87
248;CLI250;1;45;0;0;1;2;1;114565;5;1.583;50;0;82
249;CLI251;0;23;4;2;1;5;2;14508;39;14.085;30;0;549
250;CLI252;0;54;4;0;1;1;1;114342;38;0.642;120;0;394
251;CLI253;1;42;5;0;1;1;3;41408;19;0.893;50;0;371
252;CLI254;1;52;0;0;2;4;1;89663;4;1.619;30;0;359
253;CLI255;1;77;8;0;0;3;1;123604;48;1.639;80;0;46
254;CLI256;0;34;4;1;1;4;3;18455;12;1.169;30;0;308
255;CLI257;0;90;8;0;2;2;0;40760;13;1.17;30;0;70
256;CLI258;0;56;2;0;1;1;1;122968;8;1.228;120;0;335
257;CLI259;0;46;1;0;1;1;1;108670;18;1.443;120;1;281
258;CLI260;1;42;0;0;1;3;3;24978;15;1.33;30;0;74
259;CLI261;1;20;2;2;0;4;2;21453;42;1.098;30;0;515
260;CLI262;1;55;0;0;2;3;1;115574;35;0.603;80;0;251
261;CLI263;0;51;5;0;1;1;1;51073;46;1.502;50;0;253
262;CLI264;0;79;8;0;0;3;0;32554;42;0.994;30;0;223
263;CLI265;0;36;4;1;1;4;3;26531;23;1.054;30;1;169
264;CLI266;0;28;1;2;1;7;3;30471;40;2.306;30;1;162
265;CLI267;0;83;7;0;0;2;0;51383;47;0.622;30;0;51
266;CLI268;1;79;0;0;1;1;0;59940;37;0.994;50;0;52
267;CLI269;0;79;0;0;2;3;0;67348;10;1.502;80;1;211
268;CLI270;1;40;7;1;1;6;3;56576;28;2.043;30;0;177
269;CLI271;1;44;0;0;1;2;1;55372;22;0.801;50;1;249
270;CLI272;0;31;7;2;1;4;3;31689;10;2.02;30;0;511
271;CLI273;0;31;5;2;1;3;3;21001;11;1.56;30;1;194
272;CLI274;1;21;7;2;0;3;2;16263;7;1.754;30;0;561
273;CLI275;1;47;0;0;1;2;1;93570;31;1.385;50;0;350
274;CLI276;0;39;0;1;2;2;3;29143;5;1.399;30;0;230
275;CLI277;1;72;8;0;0;2;1;49363;41;1.463;50;1;288
276;CLI278;1;57;2;0;0;4;1;81605;22;1.287;80;0;511
277;CLI279;0;44;0;0;1;1;1;56875;2;1.307;50;0;151
278;CLI280;0;76;4;0;1;3;1;73565;7;1.326;30;0;403
279;CLI281;0;24;3;2;1;3;2;12875;38;12.705;30;0;225
280;CLI282;1;52;2;0;2;4;1;102945;44;0.876;80;0;247
281;CLI283;1;32;6;1;0;2;3;19708;28;1.698;30;1;117
282;CLI284;1;51;0;0;2;3;1;27708;1;0.915;30;0;50
283;CLI285;1;35;0;1;1;2;3;21909;6;1.652;30;0;38
284;CLI286;0;42;3;0;1;1;3;76047;18;1.399;50;0;512
285;CLI287;1;65;0;0;1;1;1;110421;33;1.639;50;0;439
286;CLI288;0;29;7;2;1;1;3;27554;34;2.685;30;0;122
287;CLI289;1;29;3;2;1;2;3;27078;19;1.685;30;0;69
288;CLI290;1;31;6;2;1;1;3;21752;10;0.939;30;0;498
289;CLI291;0;58;4;0;2;3;1;129871;27;1.228;80;0;188
290;CLI292;0;47;7;0;1;1;1;88700;15;1.6;120;0;519
291;CLI293;1;30;5;2;1;3;3;19071;3;0.801;30;0;598
292;CLI294;0;35;0;1;1;8;3;23946;3;1.284;30;1;272
293;CLI295;1;29;4;2;1;4;3;26208;0;11.325;30;1;276
294;CLI296;0;34;7;1;1;2;3;24267;20;0.686;30;1;183
295;CLI297;1;43;2;0;0;3;3;84366;2;1.606;30;0;199
296;CLI298;0;47;4;0;1;3;1;102063;28;15.215;30;0;39
297;CLI299;1;28;5;2;1;2;3;24575;5;1.374;30;0;83
298;CLI300;1;44;0;0;0;3;1;74758;30;1.054;30;0;170
299;CLI301;0;44;7;0;2;2;1;111342;46;1.514;50;0;347
300;CLI302;1;69;7;0;2;3;1;115079;34;0.837;80;1;234
301;CLI303;0;30;3;2;1;2;3;30022;49;1.077;30;0;274
302;CLI304;1;30;3;2;1;3;3;29916;20;1.951;30;0;470
303;CLI305;0;21;3;2;1;2;2;15567;7;1.995;30;0;254
304;CLI306;0;95;8;0;0;2;0;37113;19;0.681;50;0;463
305;CLI307;1;45;6;0;0;2;1;82698;38;1.813;50;0;380
306;CLI308;0;30;0;2;2;2;3;21265;31;1.169;30;0;500
307;CLI309;0;77;5;0;2;2;1;34240;16;0.915;30;1;136
308;CLI310;0;58;4;0;2;4;1;33034;38;0.681;30;0;464
309;CLI311;0;54;4;0;2;4;1;78303;5;1.482;30;0;67
310;CLI312;1;61;2;0;1;1;1;27311;19;1.385;30;0;323
311;CLI313;0;63;4;0;2;4;1;107558;35;0.72;80;1;241
312;CLI314;1;91;8;0;1;1;0;33200;33;15.215;30;1;276
313;CLI315;1;47;2;0;0;4;1;124965;34;1.6;200;0;210
314;CLI316;1;40;5;1;1;3;3;30372;15;0.801;30;0;289
315;CLI317;1;81;8;0;1;2;0;67552;35;0.955;50;1;324
316;CLI318;0;33;1;1;1;4;3;20283;19;1.399;30;1;356
317;CLI319;0;41;0;1;1;2;3;42918;33;1.054;50;0;428
318;CLI320;0;24;6;2;1;1;2;17004;45;1.65;30;1;376
319;CLI321;1;21;3;2;1;4;2;22373;14;1.685;30;1;314
320;CLI322;1;77;4;0;0;2;1;79612;27;1.033;50;0;67
321;CLI323;1;98;8;0;1;1;0;32117;32;0.661;30;0;40
322;CLI324;1;20;3;2;1;4;2;19878;4;2.306;30;0;176
323;CLI325;1;28;5;2;1;1;3;25900;27;1.512;30;1;212
324;CLI326;0;50;0;0;1;1;1;102534;44;1.502;50;0;256
325;CLI327;0;39;0;1;1;1;3;18453;32;0.686;30;0;355
326;CLI328;0;41;4;1;1;1;3;46573;36;1.905;30;0;116
327;CLI329;0;43;4;0;2;2;3;114028;44;1.491;120;0;555
328;CLI330;0;35;3;1;1;5;3;20138;20;1.997;30;1;182
329;CLI331;0;68;0;0;2;3;1;61611;40;1.502;80;0;78
330;CLI332;0;64;4;0;2;4;1;37050;8;1.541;30;1;196
331;CLI333;0;35;4;1;1;4;3;19290;49;2.066;30;1;225
332;CLI334;1;28;3;2;1;5;3;27767;18;1.857;30;0;111
333;CLI335;0;62;0;0;2;4;1;108609;14;1.561;80;0;211
334;CLI336;0;40;7;1;1;2;3;66164;25;1.422;50;0;190
335;CLI337;0;33;3;1;1;3;3;18858;43;1.905;30;0;86
336;CLI338;1;21;3;2;1;5;2;21250;26;1.547;30;0;486
337;CLI339;1;30;3;2;1;2;3;28178;0;0.985;30;0;103
338;CLI340;0;42;5;0;1;1;3;49370;46;2.02;50;1;100
339;CLI341;1;51;0;0;2;2;1;29539;41;1.013;30;1;314
340;CLI342;1;32;0;1;1;1;3;26497;30;0.824;30;0;412
341;CLI343;1;56;7;0;2;4;1;37594;9;1.678;30;0;147
342;CLI344;1;61;0;0;1;1;1;21809;49;0.622;30;1;218
343;CLI345;0;76;4;0;1;1;1;79990;41;1.033;50;0;335
344;CLI346;0;29;3;2;1;8;3;23466;45;2.306;30;1;340
345;CLI347;0;91;8;0;1;3;0;103546;17;0.857;80;1;220
346;CLI348;0;43;3;0;1;1;3;33027;5;0.87;30;0;110
347;CLI349;1;39;0;1;1;1;3;29435;45;0.801;30;0;97
348;CLI350;1;21;6;2;0;5;2;14959;27;1.236;30;0;449
349;CLI351;0;66;0;0;0;4;1;80361;17;0.896;80;1;237
350;CLI352;1;39;0;1;2;4;3;26201;31;1.238;30;0;588
351;CLI353;0;58;4;0;1;1;1;64449;42;0.779;50;0;171
352;CLI354;0;95;8;0;1;1;0;44807;36;1.756;30;0;151
353;CLI355;0;32;3;1;1;3;3;31755;12;1.836;30;1;136
354;CLI356;0;29;5;2;1;1;3;22925;3;2.444;30;0;56
355;CLI357;1;40;4;1;1;1;3;126948;3;1.353;50;1;150
356;CLI358;0;24;1;2;1;4;2;14795;34;1.788;30;1;227
357;CLI359;1;21;6;2;1;5;2;22750;22;1.754;30;0;151
358;CLI360;0;22;8;2;2;3;2;12854;18;2.271;30;0;133
359;CLI361;1;47;3;0;1;3;1;88578;10;1.639;80;0;73
360;CLI362;0;46;0;0;1;3;1;46621;47;1.443;30;0;255
361;CLI363;1;47;7;0;1;2;1;94822;17;1.482;50;0;498
362;CLI364;0;55;4;0;0;3;1;79899;47;1.756;80;1;138
363;CLI365;1;28;7;2;1;2;3;20884;44;2.823;30;0;568
364;CLI366;1;67;0;0;0;2;1;29880;25;1.541;30;0;390
365;CLI367;0;31;3;2;2;2;3;30351;40;1.307;30;1;198
366;CLI368;1;42;0;0;1;1;3;63425;13;1.468;50;0;541
367;CLI369;1;28;2;2;1;3;3;24078;24;12.705;30;0;145
368;CLI370;0;20;3;2;1;5;2;14074;20;3.03;30;0;118
369;CLI371;1;47;7;0;2;5;1;127659;48;0.837;200;0;134
370;CLI372;0;30;0;2;1;1;3;31960;6;1.031;30;0;207
371;CLI373;0;66;7;0;1;2;1;120691;30;1.658;50;0;358
372;CLI374;1;83;8;0;1;1;0;38201;28;1.6;50;0;329
373;CLI375;0;34;5;1;1;4;3;19790;36;1.491;30;0;504
374;CLI376;1;25;5;2;1;4;2;19630;15;0.995;30;1;132
375;CLI377;1;40;0;1;1;1;3;41003;22;0.824;50;0;45
376;CLI378;1;33;5;1;1;1;3;18748;15;0.893;30;1;177
377;CLI379;1;62;0;0;2;2;1;89101;48;0.818;120;0;348
378;CLI380;0;57;0;0;1;2;1;67677;35;1.267;50;1;301
379;CLI381;1;43;7;0;1;1;3;103658;40;0.962;50;0;32
380;CLI382;0;39;0;1;1;1;3;30379;8;1.882;30;0;198
381;CLI383;1;36;4;1;2;2;3;25600;2;1.008;30;0;271
382;CLI384;0;28;0;2;1;6;3;28014;30;2.202;30;1;274
