Unnamed: 0;ID;Genero;Edad;Profesion;Experiencia laboral;Gastoscore;Family_Size;Generacion;Ingresos anuales brutos;Provincia;Digital_encuesta;Gasto_medio_mensual_cuota;Abandono;Dias_cliente;cluster
103;CLI105;1;42;2;0;0;5;3;96292;21;1.054;30;1;355;3
104;CLI106;0;39;3;1;1;2;3;20263;23;0.962;30;0;194;1
105;CLI107;1;20;5;2;1;2;2;16588;12;1.685;30;0;349;1
106;CLI108;1;33;1;1;1;2;3;27655;29;0.916;30;0;416;1
107;CLI109;1;95;8;0;1;1;0;84497;48;1.189;120;0;53;2
108;CLI110;0;21;3;2;1;5;2;23229;31;2.478;30;0;422;1
109;CLI111;1;28;3;2;1;3;3;23267;17;2.651;30;1;246;1
110;CLI112;1;65;7;0;1;4;1;23790;34;1.737;30;0;558;2
111;CLI113;0;43;0;0;1;1;3;30798;38;1.859;30;0;469;1
112;CLI114;0;55;5;0;1;1;1;61943;11;0.7;50;0;210;2
113;CLI115;1;52;0;0;1;1;1;107048;36;1.385;50;0;377;0
114;CLI116;1;47;2;0;0;3;1;81464;48;0.896;80;0;322;0
115;CLI117;1;40;2;1;2;4;3;82765;18;1.905;30;0;348;1
116;CLI118;1;88;8;0;1;1;0;98860;49;0.955;120;0;483;2
117;CLI119;1;40;0;1;1;2;3;73875;11;0.87;50;0;473;0
118;CLI120;1;30;8;2;1;7;3;24750;23;0.824;30;1;319;1
119;CLI121;0;41;0;1;0;2;3;102142;19;1.445;50;1;380;1
120;CLI122;1;51;2;0;0;3;1;88796;47;0.974;80;0;347;0
121;CLI123;1;61;2;0;0;4;1;64910;42;1.189;30;0;170;2
122;CLI124;0;52;4;0;2;4;1;91780;48;0.603;30;0;460;0
123;CLI125;0;31;3;2;1;3;3;31620;34;0.847;30;0;463;1
124;CLI126;1;43;7;0;1;2;3;48982;25;0.847;30;1;216;3
125;CLI127;0;30;6;2;1;2;3;25210;16;1.238;30;0;476;1
126;CLI128;0;46;4;0;1;1;1;37207;10;1.443;30;0;410;0
127;CLI129;1;79;0;0;2;2;0;76162;43;0.681;50;1;370;3
128;CLI130;0;31;4;2;1;2;3;26401;33;1.031;30;0;202;1
129;CLI131;1;39;7;1;1;5;3;20825;49;1.813;30;0;162;1
130;CLI132;1;43;2;0;0;5;3;102501;48;0.916;30;0;224;3
131;CLI133;0;76;8;0;0;2;1;126886;44;0.779;50;0;70;2
132;CLI134;1;20;3;2;1;4;2;16116;36;14.085;30;0;465;4
133;CLI135;1;51;0;0;1;1;1;52430;16;0.642;50;0;457;0
134;CLI136;0;55;4;0;0;2;1;123559;46;0.935;50;0;468;0
135;CLI137;1;33;2;1;1;5;3;19725;13;1.629;30;1;113;1
136;CLI138;0;45;0;0;1;2;1;93183;47;1.652;120;0;90;0
137;CLI139;0;43;0;0;1;4;3;44048;19;1.859;30;1;246;3
138;CLI140;0;32;6;1;1;4;3;18393;30;1.537;30;0;53;1
139;CLI141;0;41;0;1;1;4;3;26460;26;1.054;30;0;67;1
140;CLI142;0;43;4;0;2;2;3;22281;20;1.721;30;0;170;1
141;CLI143;0;53;0;0;2;5;1;113361;34;0.72;30;0;49;3
142;CLI144;0;35;5;1;1;3;3;25568;33;1.583;30;0;499;1
143;CLI145;1;86;8;0;1;1;0;70379;24;0.915;30;0;255;2
144;CLI146;0;47;4;0;2;5;1;21950;25;0.564;30;0;596;0
145;CLI147;1;32;6;1;1;5;3;28472;21;1.744;30;0;564;1
146;CLI148;0;31;4;2;2;2;3;22265;16;1.951;30;1;248;1
147;CLI149;1;88;8;0;1;1;0;124934;15;0.837;50;0;442;2
148;CLI150;0;31;3;2;1;4;3;19619;3;1.376;30;1;361;1
149;CLI151;1;78;0;0;2;3;1;87130;31;0.896;80;0;276;0
150;CLI152;1;74;8;0;0;9;1;72312;41;1.091;30;1;363;2
151;CLI153;0;29;4;2;1;1;3;30607;31;2.961;30;1;176;1
152;CLI154;0;52;4;0;2;2;1;66892;16;1.306;50;1;169;3
153;CLI155;0;47;0;0;2;2;1;84769;44;1.717;50;0;477;0
154;CLI156;0;30;3;2;1;4;3;18748;36;1.698;30;0;97;1
155;CLI157;0;50;6;0;1;4;1;63734;17;1.58;80;0;126;3
156;CLI158;1;84;2;0;1;1;0;53698;37;0.974;30;0;259;2
157;CLI159;0;47;0;0;2;4;1;21366;13;1.502;30;0;569;0
158;CLI160;0;86;8;0;0;2;0;44132;28;0.564;50;1;301;2
159;CLI161;1;39;0;1;2;3;3;28417;13;2.066;30;1;152;1
160;CLI162;0;54;0;0;1;1;1;124487;27;0.876;50;0;166;3
161;CLI163;0;28;3;2;1;5;3;18643;5;1.995;30;0;348;1
162;CLI164;1;41;2;1;2;5;3;44300;26;1.491;30;0;368;1
163;CLI165;0;35;3;1;1;5;3;20220;37;1.261;30;0;276;1
164;CLI166;1;66;5;0;2;2;1;49821;27;1.404;50;0;430;0
165;CLI167;0;50;0;0;2;3;1;22711;35;1.561;30;1;190;3
166;CLI168;0;54;1;0;2;3;1;53234;19;0.564;30;0;425;3
167;CLI169;1;35;0;1;1;5;3;19156;29;1.583;30;0;54;1
168;CLI170;0;44;0;0;1;3;1;22265;34;1.169;30;0;63;3
169;CLI171;1;65;0;0;2;2;1;22607;15;1.346;30;0;208;3
170;CLI172;1;53;0;0;1;5;1;37965;17;0.72;30;1;308;3
171;CLI173;1;90;2;0;0;2;0;62419;46;1.17;50;0;382;2
172;CLI174;0;77;8;0;1;2;1;29465;46;1.228;30;0;253;2
173;CLI175;1;34;0;1;1;2;3;18697;48;1.353;30;1;230;1
174;CLI176;0;79;8;0;0;2;0;62399;3;1.737;50;1;138;2
175;CLI177;1;55;0;0;2;4;1;86180;45;0.74;80;0;330;0
176;CLI178;0;25;4;2;1;1;2;28548;28;2.306;30;0;489;1
177;CLI179;0;22;3;2;1;6;2;19365;37;3.099;30;0;517;1
178;CLI180;0;24;3;2;1;3;2;21141;22;2.168;30;0;411;1
179;CLI181;0;34;4;1;1;1;3;27658;25;0.755;30;0;128;1
180;CLI182;0;40;0;1;2;2;3;34364;1;0.778;30;0;482;1
181;CLI183;1;57;7;0;2;5;1;120574;17;1.678;200;0;508;0
182;CLI184;0;32;0;1;1;1;3;21687;25;0.732;30;0;439;1
183;CLI185;1;44;0;0;2;4;1;116326;37;1.1;30;0;320;3
184;CLI186;0;44;0;0;1;1;1;90572;25;1.675;50;0;441;0
185;CLI187;1;42;0;0;1;2;3;21506;22;1.307;30;0;527;1
186;CLI188;0;94;8;0;1;1;0;67106;36;0.935;30;1;264;2
187;CLI189;0;23;5;2;1;3;2;13284;2;2.754;30;0;259;1
188;CLI190;0;45;4;0;2;2;1;79451;40;1.008;120;0;146;0
189;CLI191;1;44;0;0;1;2;1;123254;2;1.146;50;0;100;3
190;CLI192;1;58;0;0;2;3;1;94980;14;1.287;80;1;172;3
191;CLI193;0;46;0;0;1;2;1;25715;16;15.215;30;0;306;4
192;CLI194;1;46;2;0;1;2;1;76575;44;1.306;120;1;104;3
193;CLI195;1;53;0;0;2;4;1;78640;45;1.052;80;0;266;0
194;CLI196;1;65;0;0;1;2;1;52301;14;1.737;50;0;564;0
195;CLI197;1;45;2;0;2;3;1;118305;14;1.744;30;0;512;0
196;CLI198;0;34;0;1;2;2;3;30375;43;1.514;30;1;148;1
197;CLI199;0;54;0;0;0;5;1;111245;32;1.678;30;1;140;3
198;CLI200;1;74;2;0;1;2;1;112983;44;0.759;50;0;475;0
199;CLI201;1;39;0;1;2;2;3;23791;13;0.939;30;0;497;1
200;CLI202;0;29;3;2;1;3;3;21493;16;1.685;30;0;195;1
201;CLI203;1;21;3;2;1;3;2;18379;34;1.788;30;1;344;1
202;CLI204;0;28;4;2;2;8;3;24677;23;1.788;30;0;141;1
203;CLI205;0;43;3;0;1;2;3;119370;46;1.491;50;1;182;3
204;CLI206;1;69;7;0;1;2;1;67990;49;1.091;50;0;330;2
205;CLI207;1;25;3;2;1;3;2;25792;27;2.306;30;0;130;1
206;CLI208;0;25;3;2;1;3;2;25123;47;2.306;30;0;516;1
207;CLI209;0;58;0;0;1;1;1;75114;45;0.7;50;1;240;3
208;CLI210;1;36;5;1;1;2;3;22309;17;0.801;30;0;515;1
209;CLI211;0;55;4;0;2;4;1;42798;12;0.818;30;1;141;3
210;CLI212;0;76;4;0;1;2;1;116292;23;1.033;50;1;366;2
211;CLI213;1;41;0;1;1;1;3;111610;5;1.238;50;0;53;3
212;CLI214;0;22;6;2;1;4;2;19315;28;2.409;30;0;238;1
213;CLI215;0;94;8;0;0;1;0;83312;37;0.955;120;0;288;2
214;CLI216;0;54;5;0;2;4;1;21962;45;1.424;30;0;379;3
215;CLI217;1;20;3;2;1;3;2;13516;31;1.719;30;0;277;1
216;CLI218;0;57;5;0;2;2;1;44875;14;1.385;50;1;138;3
217;CLI219;1;28;5;2;2;2;3;25044;34;1.374;30;1;112;1
218;CLI220;1;62;2;0;0;2;1;28075;46;1.639;30;0;238;2
219;CLI221;1;68;8;0;1;1;1;127188;0;0.974;50;0;506;2
220;CLI222;0;39;0;1;1;3;3;25028;5;1.123;30;0;226;1
221;CLI223;1;31;4;2;2;2;3;23023;39;1.56;30;0;364;1
222;CLI224;0;31;0;2;1;3;3;21556;37;1.468;30;0;282;1
223;CLI225;1;22;3;2;1;5;2;15005;49;1.236;30;0;321;1
224;CLI226;0;30;1;2;1;1;3;29143;49;1.031;30;0;532;1
225;CLI227;0;62;4;0;1;1;1;69229;30;1.326;30;0;521;0
226;CLI228;1;50;0;0;2;4;1;48692;35;0.72;30;0;583;0
227;CLI229;1;28;3;2;1;4;3;23938;17;1.512;30;0;33;1
228;CLI230;1;44;6;0;1;1;1;47218;41;1.077;30;1;279;3
229;CLI231;0;28;3;2;1;2;3;19509;2;1.305;30;0;411;1
230;CLI232;0;81;8;0;0;2;0;64200;11;1.697;30;0;428;2
231;CLI233;0;25;3;2;1;4;2;30810;17;2.927;30;0;343;1
232;CLI234;0;74;8;0;0;2;1;32234;18;0.583;30;0;299;2
233;CLI235;1;23;3;2;1;4;2;18209;17;2.133;30;0;256;1
234;CLI236;0;42;0;0;1;1;3;50413;4;0.709;50;0;308;3
235;CLI237;1;31;3;2;1;4;3;18631;37;1.698;30;1;126;1
236;CLI238;0;35;3;1;1;5;3;23024;9;1.077;30;0;99;1
237;CLI239;0;36;8;1;1;4;3;28874;9;1.307;30;1;127;1
238;CLI240;0;62;8;0;0;4;1;60382;30;1.678;30;0;405;2
239;CLI241;0;58;0;0;1;2;1;41277;11;0.661;50;0;370;0
240;CLI242;1;63;2;0;0;5;1;83097;8;1.404;30;0;569;0
241;CLI243;0;65;0;0;2;3;1;66869;46;0.681;80;1;210;3
242;CLI244;0;28;3;2;0;4;3;31045;1;2.03;30;0;273;1
243;CLI245;1;65;0;0;2;6;1;84463;9;1.6;30;0;284;3
244;CLI246;0;40;0;1;1;4;3;81229;9;1.169;30;0;150;1
245;CLI247;1;41;7;1;1;2;3;119717;34;1.629;50;0;120;1
246;CLI248;1;24;5;2;1;3;2;20248;35;13.395;30;0;430;4
247;CLI249;1;47;0;0;1;2;1;69591;43;1.424;50;0;87;3
248;CLI250;1;45;0;0;1;2;1;114565;5;1.583;50;0;82;3
249;CLI251;0;23;4;2;1;5;2;14508;39;14.085;30;0;549;4
250;CLI252;0;54;4;0;1;1;1;114342;38;0.642;120;0;394;0
251;CLI253;1;42;5;0;1;1;3;41408;19;0.893;50;0;371;1
252;CLI254;1;52;0;0;2;4;1;89663;4;1.619;30;0;359;3
253;CLI255;1;77;8;0;0;3;1;123604;48;1.639;80;0;46;2
254;CLI256;0;34;4;1;1;4;3;18455;12;1.169;30;0;308;1
255;CLI257;0;90;8;0;2;2;0;40760;13;1.17;30;0;70;2
256;CLI258;0;56;2;0;1;1;1;122968;8;1.228;120;0;335;0
257;CLI259;0;46;1;0;1;1;1;108670;18;1.443;120;1;281;0
258;CLI260;1;42;0;0;1;3;3;24978;15;1.33;30;0;74;1
259;CLI261;1;20;2;2;0;4;2;21453;42;1.098;30;0;515;1
260;CLI262;1;55;0;0;2;3;1;115574;35;0.603;80;0;251;0
261;CLI263;0;51;5;0;1;1;1;51073;46;1.502;50;0;253;3
262;CLI264;0;79;8;0;0;3;0;32554;42;0.994;30;0;223;2
263;CLI265;0;36;4;1;1;4;3;26531;23;1.054;30;1;169;1
264;CLI266;0;28;1;2;1;7;3;30471;40;2.306;30;1;162;1
265;CLI267;0;83;7;0;0;2;0;51383;47;0.622;30;0;51;2
266;CLI268;1;79;0;0;1;1;0;59940;37;0.994;50;0;52;3
267;CLI269;0;79;0;0;2;3;0;67348;10;1.502;80;1;211;3
268;CLI270;1;40;7;1;1;6;3;56576;28;2.043;30;0;177;1
269;CLI271;1;44;0;0;1;2;1;55372;22;0.801;50;1;249;3
270;CLI272;0;31;7;2;1;4;3;31689;10;2.02;30;0;511;1
271;CLI273;0;31;5;2;1;3;3;21001;11;1.56;30;1;194;1
272;CLI274;1;21;7;2;0;3;2;16263;7;1.754;30;0;561;1
273;CLI275;1;47;0;0;1;2;1;93570;31;1.385;50;0;350;0
274;CLI276;0;39;0;1;2;2;3;29143;5;1.399;30;0;230;1
275;CLI277;1;72;8;0;0;2;1;49363;41;1.463;50;1;288;2
276;CLI278;1;57;2;0;0;4;1;81605;22;1.287;80;0;511;0
277;CLI279;0;44;0;0;1;1;1;56875;2;1.307;50;0;151;3
278;CLI280;0;76;4;0;1;3;1;73565;7;1.326;30;0;403;2
279;CLI281;0;24;3;2;1;3;2;12875;38;12.705;30;0;225;4
280;CLI282;1;52;2;0;2;4;1;102945;44;0.876;80;0;247;0
281;CLI283;1;32;6;1;0;2;3;19708;28;1.698;30;1;117;1
282;CLI284;1;51;0;0;2;3;1;27708;1;0.915;30;0;50;3
283;CLI285;1;35;0;1;1;2;3;21909;6;1.652;30;0;38;1
284;CLI286;0;42;3;0;1;1;3;76047;18;1.399;50;0;512;0
285;CLI287;1;65;0;0;1;1;1;110421;33;1.639;50;0;439;0
286;CLI288;0;29;7;2;1;1;3;27554;34;2.685;30;0;122;1
287;CLI289;1;29;3;2;1;2;3;27078;19;1.685;30;0;69;1
288;CLI290;1;31;6;2;1;1;3;21752;10;0.939;30;0;498;1
289;CLI291;0;58;4;0;2;3;1;129871;27;1.228;80;0;188;0
290;CLI292;0;47;7;0;1;1;1;88700;15;1.6;120;0;519;0
291;CLI293;1;30;5;2;1;3;3;19071;3;0.801;30;0;598;1
292;CLI294;0;35;0;1;1;8;3;23946;3;1.284;30;1;272;1
293;CLI295;1;29;4;2;1;4;3;26208;0;11.325;30;1;276;4
294;CLI296;0;34;7;1;1;2;3;24267;20;0.686;30;1;183;1
295;CLI297;1;43;2;0;0;3;3;84366;2;1.606;30;0;199;1
296;CLI298;0;47;4;0;1;3;1;102063;28;15.215;30;0;39;4
297;CLI299;1;28;5;2;1;2;3;24575;5;1.374;30;0;83;1
298;CLI300;1;44;0;0;0;3;1;74758;30;1.054;30;0;170;3
299;CLI301;0;44;7;0;2;2;1;111342;46;1.514;50;0;347;0
300;CLI302;1;69;7;0;2;3;1;115079;34;0.837;80;1;234;3
301;CLI303;0;30;3;2;1;2;3;30022;49;1.077;30;0;274;1
302;CLI304;1;30;3;2;1;3;3;29916;20;1.951;30;0;470;1
303;CLI305;0;21;3;2;1;2;2;15567;7;1.995;30;0;254;1
304;CLI306;0;95;8;0;0;2;0;37113;19;0.681;50;0;463;2
305;CLI307;1;45;6;0;0;2;1;82698;38;1.813;50;0;380;2
306;CLI308;0;30;0;2;2;2;3;21265;31;1.169;30;0;500;1
307;CLI309;0;77;5;0;2;2;1;34240;16;0.915;30;1;136;3
308;CLI310;0;58;4;0;2;4;1;33034;38;0.681;30;0;464;3
309;CLI311;0;54;4;0;2;4;1;78303;5;1.482;30;0;67;3
310;CLI312;1;61;2;0;1;1;1;27311;19;1.385;30;0;323;3
311;CLI313;0;63;4;0;2;4;1;107558;35;0.72;80;1;241;3
312;CLI314;1;91;8;0;1;1;0;33200;33;15.215;30;1;276;4
313;CLI315;1;47;2;0;0;4;1;124965;34;1.6;200;0;210;0
314;CLI316;1;40;5;1;1;3;3;30372;15;0.801;30;0;289;1
315;CLI317;1;81;8;0;1;2;0;67552;35;0.955;50;1;324;2
316;CLI318;0;33;1;1;1;4;3;20283;19;1.399;30;1;356;1
317;CLI319;0;41;0;1;1;2;3;42918;33;1.054;50;0;428;1
318;CLI320;0;24;6;2;1;1;2;17004;45;1.65;30;1;376;1
319;CLI321;1;21;3;2;1;4;2;22373;14;1.685;30;1;314;1
320;CLI322;1;77;4;0;0;2;1;79612;27;1.033;50;0;67;2
321;CLI323;1;98;8;0;1;1;0;32117;32;0.661;30;0;40;2
322;CLI324;1;20;3;2;1;4;2;19878;4;2.306;30;0;176;1
323;CLI325;1;28;5;2;1;1;3;25900;27;1.512;30;1;212;1
324;CLI326;0;50;0;0;1;1;1;102534;44;1.502;50;0;256;0
325;CLI327;0;39;0;1;1;1;3;18453;32;0.686;30;0;355;1
326;CLI328;0;41;4;1;1;1;3;46573;36;1.905;30;0;116;1
327;CLI329;0;43;4;0;2;2;3;114028;44;1.491;120;0;555;0
328;CLI330;0;35;3;1;1;5;3;20138;20;1.997;30;1;182;1
329;CLI331;0;68;0;0;2;3;1;61611;40;1.502;80;0;78;3
330;CLI332;0;64;4;0;2;4;1;37050;8;1.541;30;1;196;3
331;CLI333;0;35;4;1;1;4;3;19290;49;2.066;30;1;225;1
332;CLI334;1;28;3;2;1;5;3;27767;18;1.857;30;0;111;1
333;CLI335;0;62;0;0;2;4;1;108609;14;1.561;80;0;211;0
334;CLI336;0;40;7;1;1;2;3;66164;25;1.422;50;0;190;1
335;CLI337;0;33;3;1;1;3;3;18858;43;1.905;30;0;86;1
336;CLI338;1;21;3;2;1;5;2;21250;26;1.547;30;0;486;1
337;CLI339;1;30;3;2;1;2;3;28178;0;0.985;30;0;103;1
338;CLI340;0;42;5;0;1;1;3;49370;46;2.02;50;1;100;3
339;CLI341;1;51;0;0;2;2;1;29539;41;1.013;30;1;314;3
340;CLI342;1;32;0;1;1;1;3;26497;30;0.824;30;0;412;1
341;CLI343;1;56;7;0;2;4;1;37594;9;1.678;30;0;147;3
342;CLI344;1;61;0;0;1;1;1;21809;49;0.622;30;1;218;3
343;CLI345;0;76;4;0;1;1;1;79990;41;1.033;50;0;335;2
344;CLI346;0;29;3;2;1;8;3;23466;45;2.306;30;1;340;1
345;CLI347;0;91;8;0;1;3;0;103546;17;0.857;80;1;220;2
346;CLI348;0;43;3;0;1;1;3;33027;5;0.87;30;0;110;1
347;CLI349;1;39;0;1;1;1;3;29435;45;0.801;30;0;97;1
348;CLI350;1;21;6;2;0;5;2;14959;27;1.236;30;0;449;1
349;CLI351;0;66;0;0;0;4;1;80361;17;0.896;80;1;237;3
350;CLI352;1;39;0;1;2;4;3;26201;31;1.238;30;0;588;1
351;CLI353;0;58;4;0;1;1;1;64449;42;0.779;50;0;171;3
352;CLI354;0;95;8;0;1;1;0;44807;36;1.756;30;0;151;2
353;CLI355;0;32;3;1;1;3;3;31755;12;1.836;30;1;136;1
354;CLI356;0;29;5;2;1;1;3;22925;3;2.444;30;0;56;1
355;CLI357;1;40;4;1;1;1;3;126948;3;1.353;50;1;150;3
356;CLI358;0;24;1;2;1;4;2;14795;34;1.788;30;1;227;1
357;CLI359;1;21;6;2;1;5;2;22750;22;1.754;30;0;151;1
358;CLI360;0;22;8;2;2;3;2;12854;18;2.271;30;0;133;1
359;CLI361;1;47;3;0;1;3;1;88578;10;1.639;80;0;73;3
360;CLI362;0;46;0;0;1;3;1;46621;47;1.443;30;0;255;3
361;CLI363;1;47;7;0;1;2;1;94822;17;1.482;50;0;498;0
