Unnamed: 0,Edad,Profesion,Experiencia laboral,Gastoscore,Family_Size,Generacion,Ingresos anuales brutos,Provincia,Digital_encuesta,Gasto_medio_mensual_cuota,Dias_cliente,Cluster asignado
79,54,8,0,1,1,1,40072,10,1.248,50,311,0
80,33,3,1,1,4,3,19080,12,1.813,30,340,2
81,29,3,2,1,3,3,23048,5,2.72,30,220,2
82,69,0,0,1,1,1,47386,23,0.72,50,549,0
83,39,7,1,2,4,3,23456,9,1.261,30,512,2
84,21,6,2,1,3,2,14401,23,1.754,30,144,2
85,35,3,1,1,5,3,30889,7,1.905,30,314,2
86,57,0,0,2,3,1,38323,9,0.857,30,245,0
87,40,0,1,1,2,3,25955,15,2.066,30,252,2
88,46,7,0,1,3,1,24287,13,0.818,30,438,2
89,44,5,0,2,2,1,110264,27,1.905,120,316,4
90,43,7,0,1,3,3,40139,18,1.882,30,293,0
91,52,0,0,2,4,1,108973,35,1.17,80,109,4
92,67,0,0,0,2,1,71322,29,1.502,50,471,3
93,35,7,1,1,2,3,30236,12,2.043,30,44,2
94,61,0,0,1,1,1,47955,48,1.424,30,291,0
95,64,0,0,2,1,1,26340,47,0.603,30,298,2
96,42,0,0,1,1,3,60797,6,1.836,50,331,3
97,69,0,0,0,2,1,119525,38,1.189,50,501,4
98,64,5,0,2,2,1,99774,2,1.052,50,360,1
99,33,4,1,2,3,3,26010,45,1.169,30,152,2
100,66,0,0,2,4,1,111087,48,1.6,80,51,4
101,75,2,0,0,7,1,28531,4,1.482,30,142,2
102,57,0,0,1,3,1,80413,41,1.463,30,190,3
103,42,2,0,0,5,3,96292,21,1.054,30,355,1
104,39,3,1,1,2,3,20263,23,0.962,30,194,2
105,20,5,2,1,2,2,16588,12,1.685,30,349,2
106,33,1,1,1,2,3,27655,29,0.916,30,416,2
107,95,8,0,1,1,0,84497,48,1.189,120,53,1
108,21,3,2,1,5,2,23229,31,2.478,30,422,2
109,28,3,2,1,3,3,23267,17,2.651,30,246,2
110,65,7,0,1,4,1,23790,34,1.737,30,558,2
111,43,0,0,1,1,3,30798,38,1.859,30,469,2
112,55,5,0,1,1,1,61943,11,0.7,50,210,3
113,52,0,0,1,1,1,107048,36,1.385,50,377,1
114,47,2,0,0,3,1,81464,48,0.896,80,322,3
115,40,2,1,2,4,3,82765,18,1.905,30,348,3
116,88,8,0,1,1,0,98860,49,0.955,120,483,1
117,40,0,1,1,2,3,73875,11,0.87,50,473,3
118,30,8,2,1,7,3,24750,23,0.824,30,319,2
119,41,0,1,0,2,3,102142,19,1.445,50,380,1
120,51,2,0,0,3,1,88796,47,0.974,80,347,1
121,61,2,0,0,4,1,64910,42,1.189,30,170,3
122,52,4,0,2,4,1,91780,48,0.603,30,460,1
123,31,3,2,1,3,3,31620,34,0.847,30,463,2
124,43,7,0,1,2,3,48982,25,0.847,30,216,0
125,30,6,2,1,2,3,25210,16,1.238,30,476,2
126,46,4,0,1,1,1,37207,10,1.443,30,410,0
127,79,0,0,2,2,0,76162,43,0.681,50,370,3
128,31,4,2,1,2,3,26401,33,1.031,30,202,2
129,39,7,1,1,5,3,20825,49,1.813,30,162,2
130,43,2,0,0,5,3,102501,48,0.916,30,224,1
131,76,8,0,0,2,1,126886,44,0.779,50,70,4
132,20,3,2,1,4,2,16116,36,14.085,30,465,2
133,51,0,0,1,1,1,52430,16,0.642,50,457,0
134,55,4,0,0,2,1,123559,46,0.935,50,468,4
135,33,2,1,1,5,3,19725,13,1.629,30,113,2
136,45,0,0,1,2,1,93183,47,1.652,120,90,1
137,43,0,0,1,4,3,44048,19,1.859,30,246,0
138,32,6,1,1,4,3,18393,30,1.537,30,53,2
139,41,0,1,1,4,3,26460,26,1.054,30,67,2
140,43,4,0,2,2,3,22281,20,1.721,30,170,2
141,53,0,0,2,5,1,113361,34,0.72,30,49,4
142,35,5,1,1,3,3,25568,33,1.583,30,499,2
143,86,8,0,1,1,0,70379,24,0.915,30,255,3
144,47,4,0,2,5,1,21950,25,0.564,30,596,2
145,32,6,1,1,5,3,28472,21,1.744,30,564,2
146,31,4,2,2,2,3,22265,16,1.951,30,248,2
147,88,8,0,1,1,0,124934,15,0.837,50,442,4
148,31,3,2,1,4,3,19619,3,1.376,30,361,2
149,78,0,0,2,3,1,87130,31,0.896,80,276,1
150,74,8,0,0,9,1,72312,41,1.091,30,363,3
151,29,4,2,1,1,3,30607,31,2.961,30,176,2
152,52,4,0,2,2,1,66892,16,1.306,50,169,3
153,47,0,0,2,2,1,84769,44,1.717,50,477,1
154,30,3,2,1,4,3,18748,36,1.698,30,97,2
155,50,6,0,1,4,1,63734,17,1.58,80,126,3
156,84,2,0,1,1,0,53698,37,0.974,30,259,0
157,47,0,0,2,4,1,21366,13,1.502,30,569,2
158,86,8,0,0,2,0,44132,28,0.564,50,301,0
159,39,0,1,2,3,3,28417,13,2.066,30,152,2
160,54,0,0,1,1,1,124487,27,0.876,50,166,4
161,28,3,2,1,5,3,18643,5,1.995,30,348,2
162,41,2,1,2,5,3,44300,26,1.491,30,368,0
163,35,3,1,1,5,3,20220,37,1.261,30,276,2
164,66,5,0,2,2,1,49821,27,1.404,50,430,0
165,50,0,0,2,3,1,22711,35,1.561,30,190,2
166,54,1,0,2,3,1,53234,19,0.564,30,425,0
167,35,0,1,1,5,3,19156,29,1.583,30,54,2
168,44,0,0,1,3,1,22265,34,1.169,30,63,2
169,65,0,0,2,2,1,22607,15,1.346,30,208,2
170,53,0,0,1,5,1,37965,17,0.72,30,308,0
171,90,2,0,0,2,0,62419,46,1.17,50,382,3
172,77,8,0,1,2,1,29465,46,1.228,30,253,2
173,34,0,1,1,2,3,18697,48,1.353,30,230,2
174,79,8,0,0,2,0,62399,3,1.737,50,138,3
175,55,0,0,2,4,1,86180,45,0.74,80,330,1
176,25,4,2,1,1,2,28548,28,2.306,30,489,2
177,22,3,2,1,6,2,19365,37,3.099,30,517,2
178,24,3,2,1,3,2,21141,22,2.168,30,411,2
179,34,4,1,1,1,3,27658,25,0.755,30,128,2
180,40,0,1,2,2,3,34364,1,0.778,30,482,2
181,57,7,0,2,5,1,120574,17,1.678,200,508,4
182,32,0,1,1,1,3,21687,25,0.732,30,439,2
183,44,0,0,2,4,1,116326,37,1.1,30,320,4
184,44,0,0,1,1,1,90572,25,1.675,50,441,1
185,42,0,0,1,2,3,21506,22,1.307,30,527,2
186,94,8,0,1,1,0,67106,36,0.935,30,264,3
187,23,5,2,1,3,2,13284,2,2.754,30,259,2
188,45,4,0,2,2,1,79451,40,1.008,120,146,3
189,44,0,0,1,2,1,123254,2,1.146,50,100,4
190,58,0,0,2,3,1,94980,14,1.287,80,172,1
191,46,0,0,1,2,1,25715,16,15.215,30,306,2
192,46,2,0,1,2,1,76575,44,1.306,120,104,3
193,53,0,0,2,4,1,78640,45,1.052,80,266,3
194,65,0,0,1,2,1,52301,14,1.737,50,564,0
195,45,2,0,2,3,1,118305,14,1.744,30,512,4
196,34,0,1,2,2,3,30375,43,1.514,30,148,2
197,54,0,0,0,5,1,111245,32,1.678,30,140,4
198,74,2,0,1,2,1,112983,44,0.759,50,475,4
199,39,0,1,2,2,3,23791,13,0.939,30,497,2
200,29,3,2,1,3,3,21493,16,1.685,30,195,2
201,21,3,2,1,3,2,18379,34,1.788,30,344,2
202,28,4,2,2,8,3,24677,23,1.788,30,141,2
203,43,3,0,1,2,3,119370,46,1.491,50,182,4
204,69,7,0,1,2,1,67990,49,1.091,50,330,3
205,25,3,2,1,3,2,25792,27,2.306,30,130,2
206,25,3,2,1,3,2,25123,47,2.306,30,516,2
207,58,0,0,1,1,1,75114,45,0.7,50,240,3
208,36,5,1,1,2,3,22309,17,0.801,30,515,2
209,55,4,0,2,4,1,42798,12,0.818,30,141,0
210,76,4,0,1,2,1,116292,23,1.033,50,366,4
211,41,0,1,1,1,3,111610,5,1.238,50,53,4
212,22,6,2,1,4,2,19315,28,2.409,30,238,2
213,94,8,0,0,1,0,83312,37,0.955,120,288,3
214,54,5,0,2,4,1,21962,45,1.424,30,379,2
215,20,3,2,1,3,2,13516,31,1.719,30,277,2
216,57,5,0,2,2,1,44875,14,1.385,50,138,0
217,28,5,2,2,2,3,25044,34,1.374,30,112,2
218,62,2,0,0,2,1,28075,46,1.639,30,238,2
219,68,8,0,1,1,1,127188,0,0.974,50,506,4
220,39,0,1,1,3,3,25028,5,1.123,30,226,2
221,31,4,2,2,2,3,23023,39,1.56,30,364,2
222,31,0,2,1,3,3,21556,37,1.468,30,282,2
223,22,3,2,1,5,2,15005,49,1.236,30,321,2
224,30,1,2,1,1,3,29143,49,1.031,30,532,2
225,62,4,0,1,1,1,69229,30,1.326,30,521,3
226,50,0,0,2,4,1,48692,35,0.72,30,583,0
227,28,3,2,1,4,3,23938,17,1.512,30,33,2
228,44,6,0,1,1,1,47218,41,1.077,30,279,0
229,28,3,2,1,2,3,19509,2,1.305,30,411,2
230,81,8,0,0,2,0,64200,11,1.697,30,428,3
231,25,3,2,1,4,2,30810,17,2.927,30,343,2
232,74,8,0,0,2,1,32234,18,0.583,30,299,2
233,23,3,2,1,4,2,18209,17,2.133,30,256,2
234,42,0,0,1,1,3,50413,4,0.709,50,308,0
235,31,3,2,1,4,3,18631,37,1.698,30,126,2
236,35,3,1,1,5,3,23024,9,1.077,30,99,2
237,36,8,1,1,4,3,28874,9,1.307,30,127,2
238,62,8,0,0,4,1,60382,30,1.678,30,405,0
239,58,0,0,1,2,1,41277,11,0.661,50,370,0
240,63,2,0,0,5,1,83097,8,1.404,30,569,3
241,65,0,0,2,3,1,66869,46,0.681,80,210,3
242,28,3,2,0,4,3,31045,1,2.03,30,273,2
243,65,0,0,2,6,1,84463,9,1.6,30,284,1
244,40,0,1,1,4,3,81229,9,1.169,30,150,3
245,41,7,1,1,2,3,119717,34,1.629,50,120,4
246,24,5,2,1,3,2,20248,35,13.395,30,430,2
247,47,0,0,1,2,1,69591,43,1.424,50,87,3
248,45,0,0,1,2,1,114565,5,1.583,50,82,4
249,23,4,2,1,5,2,14508,39,14.085,30,549,2
250,54,4,0,1,1,1,114342,38,0.642,120,394,4
251,42,5,0,1,1,3,41408,19,0.893,50,371,0
252,52,0,0,2,4,1,89663,4,1.619,30,359,1
253,77,8,0,0,3,1,123604,48,1.639,80,46,4
254,34,4,1,1,4,3,18455,12,1.169,30,308,2
255,90,8,0,2,2,0,40760,13,1.17,30,70,0
256,56,2,0,1,1,1,122968,8,1.228,120,335,4
257,46,1,0,1,1,1,108670,18,1.443,120,281,4
258,42,0,0,1,3,3,24978,15,1.33,30,74,2
259,20,2,2,0,4,2,21453,42,1.098,30,515,2
260,55,0,0,2,3,1,115574,35,0.603,80,251,4
261,51,5,0,1,1,1,51073,46,1.502,50,253,0
262,79,8,0,0,3,0,32554,42,0.994,30,223,2
263,36,4,1,1,4,3,26531,23,1.054,30,169,2
264,28,1,2,1,7,3,30471,40,2.306,30,162,2
265,83,7,0,0,2,0,51383,47,0.622,30,51,0
266,79,0,0,1,1,0,59940,37,0.994,50,52,0
267,79,0,0,2,3,0,67348,10,1.502,80,211,3
268,40,7,1,1,6,3,56576,28,2.043,30,177,0
269,44,0,0,1,2,1,55372,22,0.801,50,249,0
270,31,7,2,1,4,3,31689,10,2.02,30,511,2
271,31,5,2,1,3,3,21001,11,1.56,30,194,2
272,21,7,2,0,3,2,16263,7,1.754,30,561,2
273,47,0,0,1,2,1,93570,31,1.385,50,350,1
274,39,0,1,2,2,3,29143,5,1.399,30,230,2
275,72,8,0,0,2,1,49363,41,1.463,50,288,0
276,57,2,0,0,4,1,81605,22,1.287,80,511,3
277,44,0,0,1,1,1,56875,2,1.307,50,151,0
278,76,4,0,1,3,1,73565,7,1.326,30,403,3
279,24,3,2,1,3,2,12875,38,12.705,30,225,2
280,52,2,0,2,4,1,102945,44,0.876,80,247,1
281,32,6,1,0,2,3,19708,28,1.698,30,117,2
282,51,0,0,2,3,1,27708,1,0.915,30,50,2
283,35,0,1,1,2,3,21909,6,1.652,30,38,2
284,42,3,0,1,1,3,76047,18,1.399,50,512,3
285,65,0,0,1,1,1,110421,33,1.639,50,439,4
286,29,7,2,1,1,3,27554,34,2.685,30,122,2
287,29,3,2,1,2,3,27078,19,1.685,30,69,2
288,31,6,2,1,1,3,21752,10,0.939,30,498,2
289,58,4,0,2,3,1,129871,27,1.228,80,188,4
290,47,7,0,1,1,1,88700,15,1.6,120,519,1
291,30,5,2,1,3,3,19071,3,0.801,30,598,2
292,35,0,1,1,8,3,23946,3,1.284,30,272,2
293,29,4,2,1,4,3,26208,0,11.325,30,276,2
294,34,7,1,1,2,3,24267,20,0.686,30,183,2
295,43,2,0,0,3,3,84366,2,1.606,30,199,1
296,47,4,0,1,3,1,102063,28,15.215,30,39,1
297,28,5,2,1,2,3,24575,5,1.374,30,83,2
298,44,0,0,0,3,1,74758,30,1.054,30,170,3
299,44,7,0,2,2,1,111342,46,1.514,50,347,4
300,69,7,0,2,3,1,115079,34,0.837,80,234,4
301,30,3,2,1,2,3,30022,49,1.077,30,274,2
302,30,3,2,1,3,3,29916,20,1.951,30,470,2
303,21,3,2,1,2,2,15567,7,1.995,30,254,2
304,95,8,0,0,2,0,37113,19,0.681,50,463,0
305,45,6,0,0,2,1,82698,38,1.813,50,380,3
306,30,0,2,2,2,3,21265,31,1.169,30,500,2
307,77,5,0,2,2,1,34240,16,0.915,30,136,2
308,58,4,0,2,4,1,33034,38,0.681,30,464,2
309,54,4,0,2,4,1,78303,5,1.482,30,67,3
310,61,2,0,1,1,1,27311,19,1.385,30,323,2
311,63,4,0,2,4,1,107558,35,0.72,80,241,4
312,91,8,0,1,1,0,33200,33,15.215,30,276,2
313,47,2,0,0,4,1,124965,34,1.6,200,210,4
314,40,5,1,1,3,3,30372,15,0.801,30,289,2
315,81,8,0,1,2,0,67552,35,0.955,50,324,3
316,33,1,1,1,4,3,20283,19,1.399,30,356,2
317,41,0,1,1,2,3,42918,33,1.054,50,428,0
318,24,6,2,1,1,2,17004,45,1.65,30,376,2
319,21,3,2,1,4,2,22373,14,1.685,30,314,2
320,77,4,0,0,2,1,79612,27,1.033,50,67,3
321,98,8,0,1,1,0,32117,32,0.661,30,40,2
322,20,3,2,1,4,2,19878,4,2.306,30,176,2
323,28,5,2,1,1,3,25900,27,1.512,30,212,2
324,50,0,0,1,1,1,102534,44,1.502,50,256,1
325,39,0,1,1,1,3,18453,32,0.686,30,355,2
326,41,4,1,1,1,3,46573,36,1.905,30,116,0
327,43,4,0,2,2,3,114028,44,1.491,120,555,4
328,35,3,1,1,5,3,20138,20,1.997,30,182,2
329,68,0,0,2,3,1,61611,40,1.502,80,78,3
330,64,4,0,2,4,1,37050,8,1.541,30,196,0
331,35,4,1,1,4,3,19290,49,2.066,30,225,2
332,28,3,2,1,5,3,27767,18,1.857,30,111,2
333,62,0,0,2,4,1,108609,14,1.561,80,211,4
334,40,7,1,1,2,3,66164,25,1.422,50,190,3
335,33,3,1,1,3,3,18858,43,1.905,30,86,2
336,21,3,2,1,5,2,21250,26,1.547,30,486,2
337,30,3,2,1,2,3,28178,0,0.985,30,103,2
338,42,5,0,1,1,3,49370,46,2.02,50,100,0
339,51,0,0,2,2,1,29539,41,1.013,30,314,2
340,32,0,1,1,1,3,26497,30,0.824,30,412,2
341,56,7,0,2,4,1,37594,9,1.678,30,147,0
342,61,0,0,1,1,1,21809,49,0.622,30,218,2
343,76,4,0,1,1,1,79990,41,1.033,50,335,3
344,29,3,2,1,8,3,23466,45,2.306,30,340,2
345,91,8,0,1,3,0,103546,17,0.857,80,220,1
346,43,3,0,1,1,3,33027,5,0.87,30,110,2
347,39,0,1,1,1,3,29435,45,0.801,30,97,2
348,21,6,2,0,5,2,14959,27,1.236,30,449,2
349,66,0,0,0,4,1,80361,17,0.896,80,237,3
350,39,0,1,2,4,3,26201,31,1.238,30,588,2
351,58,4,0,1,1,1,64449,42,0.779,50,171,3
352,95,8,0,1,1,0,44807,36,1.756,30,151,0
353,32,3,1,1,3,3,31755,12,1.836,30,136,2
354,29,5,2,1,1,3,22925,3,2.444,30,56,2
355,40,4,1,1,1,3,126948,3,1.353,50,150,4
356,24,1,2,1,4,2,14795,34,1.788,30,227,2
357,21,6,2,1,5,2,22750,22,1.754,30,151,2
358,22,8,2,2,3,2,12854,18,2.271,30,133,2
359,47,3,0,1,3,1,88578,10,1.639,80,73,1
360,46,0,0,1,3,1,46621,47,1.443,30,255,0
361,47,7,0,1,2,1,94822,17,1.482,50,498,1
362,55,4,0,0,3,1,79899,47,1.756,80,138,3
363,28,7,2,1,2,3,20884,44,2.823,30,568,2
364,67,0,0,0,2,1,29880,25,1.541,30,390,2
365,31,3,2,2,2,3,30351,40,1.307,30,198,2
366,42,0,0,1,1,3,63425,13,1.468,50,541,3
367,28,2,2,1,3,3,24078,24,12.705,30,145,2
368,20,3,2,1,5,2,14074,20,3.03,30,118,2
369,47,7,0,2,5,1,127659,48,0.837,200,134,4
370,30,0,2,1,1,3,31960,6,1.031,30,207,2
371,66,7,0,1,2,1,120691,30,1.658,50,358,4
372,83,8,0,1,1,0,38201,28,1.6,50,329,0
373,34,5,1,1,4,3,19790,36,1.491,30,504,2
374,25,5,2,1,4,2,19630,15,0.995,30,132,2
375,40,0,1,1,1,3,41003,22,0.824,50,45,0
376,33,5,1,1,1,3,18748,15,0.893,30,177,2
377,62,0,0,2,2,1,89101,48,0.818,120,348,1
378,57,0,0,1,2,1,67677,35,1.267,50,301,3
379,43,7,0,1,1,3,103658,40,0.962,50,32,1
380,39,0,1,1,1,3,30379,8,1.882,30,198,2
381,36,4,1,2,2,3,25600,2,1.008,30,271,2
382,28,0,2,1,6,3,28014,30,2.202,30,274,2
383,30,0,2,2,2,3,26804,42,0.663,30,393,2
384,39,0,1,0,3,3,30079,30,1.376,30,60,2
385,45,0,0,2,2,1,127853,23,1.215,50,155,4
386,54,0,0,2,3,1,91418,8,15.215,80,368,1
387,51,0,0,2,2,1,58505,28,0.622,30,143,0
388,34,3,1,1,2,3,21815,24,2.02,30,155,2
389,54,5,0,1,1,1,121883,33,1.052,50,237,4
390,29,0,2,1,1,3,26554,35,2.582,30,405,2
391,47,5,0,0,2,1,49063,44,11.305,50,370,0
392,33,0,1,1,4,3,22790,3,1.721,30,316,2
393,77,0,0,2,4,1,98977,26,0.994,80,521,1
394,31,0,2,1,1,3,27627,7,0.962,30,195,2
395,98,8,0,0,1,0,66627,12,1.267,30,392,3
396,46,1,0,0,4,1,93705,49,1.248,30,273,1
397,41,7,1,2,3,3,94044,0,1.215,30,222,1
398,32,2,1,2,3,3,22882,25,1.491,30,306,2
399,75,0,0,0,2,1,60671,12,0.798,50,197,3
400,28,4,2,1,1,3,20804,16,14.085,30,235,2
401,32,3,1,1,1,3,26703,42,1.399,30,440,2
402,53,5,0,1,2,1,117718,21,1.189,50,546,4
403,56,5,0,2,3,1,37893,34,1.717,30,314,0
404,44,4,0,0,5,1,31950,36,1.399,30,134,2
405,52,0,0,2,6,1,115273,28,0.837,30,155,4
406,43,2,0,0,3,3,94572,37,1.606,30,175,1
407,39,2,1,2,4,3,19488,33,1.284,30,151,2
408,21,3,2,1,3,2,13058,46,1.374,30,429,2
409,23,3,2,1,1,2,22851,4,14.085,30,600,2
410,51,7,0,2,3,1,120010,22,1.404,80,521,4
411,95,8,0,1,1,0,127275,29,1.737,50,495,4
412,73,0,0,0,2,1,32384,18,1.482,30,242,2
413,46,6,0,1,5,1,22725,22,0.974,30,253,2
414,80,8,0,0,2,0,124259,43,1.17,50,450,4
415,79,4,0,1,1,0,125455,17,1.365,120,486,4
416,58,0,0,1,3,1,36290,12,0.935,30,600,2
417,43,0,0,2,2,3,81576,42,1.468,50,51,3
418,30,1,2,1,1,3,22706,43,1.859,30,81,2
419,69,7,0,2,1,1,73552,25,1.052,30,326,3
420,25,3,2,1,3,2,19442,41,3.065,30,508,2
421,33,7,1,1,4,3,29490,6,1.79,30,267,2
422,43,0,0,2,2,3,75608,48,1.422,50,324,3
423,29,0,2,2,3,3,20364,21,2.271,30,508,2
424,55,7,0,1,3,1,120220,47,1.697,80,291,4
425,50,0,0,2,2,1,31139,11,1.678,30,281,2
426,68,7,0,1,1,1,91194,22,1.111,120,161,1
427,30,5,2,1,3,3,23421,29,1.629,30,278,2
428,63,7,0,1,1,1,121886,5,1.482,50,145,4
429,33,4,1,2,7,3,22215,40,1.33,30,397,2
430,35,3,1,1,4,3,21518,7,1.79,30,540,2
431,20,2,2,1,5,2,17630,26,2.754,30,465,2
432,52,0,0,1,3,1,22173,12,0.935,30,111,2
433,35,0,1,1,4,3,23241,9,1.077,30,555,2
434,35,4,1,1,3,3,31172,29,1.307,30,466,2
435,74,5,0,2,4,1,76151,22,1.228,80,468,3
436,85,8,0,0,2,0,126168,3,1.658,50,325,4
437,87,8,0,2,2,0,99976,2,1.619,120,599,1
438,34,7,1,1,1,3,20764,41,1.537,30,489,2
439,46,0,0,1,3,1,27449,24,1.658,30,322,2
440,20,8,2,1,6,2,20495,13,2.823,30,471,2
441,55,0,0,2,4,1,29295,28,1.111,30,194,2
442,78,0,0,2,5,1,43261,39,1.17,30,198,0
443,79,8,0,1,3,0,24569,3,1.678,30,299,2
444,52,0,0,1,3,1,36616,10,0.974,30,349,2
445,50,0,0,2,2,1,36771,45,0.955,50,216,0
446,44,4,0,1,5,1,102801,26,1.123,30,235,1
447,40,4,1,1,1,3,34665,45,1.307,30,189,2
448,46,0,0,1,1,1,63045,4,0.779,50,289,3
449,33,3,1,1,4,3,20360,1,0.985,30,160,2
450,32,3,1,1,4,3,27906,30,0.916,30,236,2
451,31,4,2,1,5,3,22200,31,2.066,30,87,2
452,24,3,2,1,2,2,13250,19,1.547,30,111,2
453,94,8,0,1,1,0,87619,22,1.248,120,124,1
454,44,0,0,2,2,1,53091,46,1.169,50,480,0
455,57,0,0,2,2,1,53769,17,1.697,50,382,0
456,52,0,0,1,1,1,82303,37,1.326,50,402,3
457,29,0,2,1,6,3,25764,35,1.374,30,301,2
458,61,6,0,1,1,1,107371,34,0.955,50,152,4
459,22,5,2,1,4,2,16536,16,2.961,30,151,2
460,96,8,0,0,2,0,117837,35,1.326,50,192,4
461,31,3,2,1,2,3,18208,21,1.077,30,64,2
462,42,0,0,1,2,3,42889,47,1.261,30,293,0
463,46,7,0,1,2,1,60864,2,1.639,30,107,3
464,46,6,0,0,6,1,101456,4,1.717,30,457,1
465,32,4,1,1,4,3,24236,24,1.422,30,593,2
466,35,5,1,1,4,3,29593,10,1.353,30,509,2
467,42,2,0,0,5,3,29313,16,1.652,30,332,2
468,65,0,0,0,2,1,114614,18,1.639,120,265,4
469,24,3,2,1,2,2,16514,16,2.823,30,451,2
470,29,1,2,1,1,3,27361,32,1.788,30,91,2
471,86,0,0,0,2,0,100443,42,1.189,50,479,1
472,35,3,1,1,3,3,31084,40,1.353,30,592,2
473,41,0,1,2,4,3,36904,0,1.353,30,473,0
474,41,3,1,0,4,3,37904,32,0.686,30,85,0
