ID       ,Genero ,Casado ,Edad                ,Graduado ,Profesion        ,Experiencia laboral ,Gastoscore ,Family_Size ,anno_nacimiento      ,Generacion            ,Ingresos anuales brutos ,Provincia              ,Digital_encuesta ,Gasto_medio_mensual_cuota ,Abandono ,Dias_cliente          ,Campanna_anno
CLI16    ,F      ,Si     ,0.5641025641025641  ,No       ,Medico           ,+20annos            ,Bajo       ,      0.0   ,0.4358974358974379   ,Generacion X          ,0.950737538148525       ,Ciudad Real            ,"0,779"          ,      0.5294117647058822  ,     0.0 ,0.6052631578947368    ,3
CLI17    ,F      ,No     ,0.3205128205128205  ,No       ,Funcionario      ,+20annos            ,Bajo       ,      0.125 ,0.6794871794871824   ,Generacion X          ,0.2928958969142082      ,Gerona                 ,"0,801"          ,      0.0                 ,     0.0 ,0.6649122807017543    ,3
CLI18    ,F      ,No     ,0.1923076923076923  ,No       ,Construccion     ,10-20annos          ,Bajo       ,      0.5   ,0.8076923076923102   ,Millennials           ,0.15691759918616482     ,Zaragoza               ,"1,767"          ,      0.0                 ,     0.0 ,0.5228070175438596    ,"0,5"
CLI19    ,M      ,No     ,0.17948717948717952 ,No       ,Funcionario      ,10-20annos          ,Bajo       ,      0.625 ,0.8205128205128212   ,Millennials           ,0.1681756527636487      ,Jaen                   ,"1,606"          ,      0.0                 ,     1.0 ,0.3385964912280702    ,
CLI20    ,M      ,Si     ,0.5641025641025641  ,Si       ,Otros            ,+20annos            ,Medio      ,      0.375 ,0.4358974358974379   ,Generacion X          ,0.4705154289589692      ,Almeria                ,"0,72"           ,      0.29411764705882354 ,     0.0 ,0.1543859649122807    ,
CLI21    ,F      ,Si     ,0.858974358974359   ,Si       ,Artista          ,+20annos            ,Alto       ,      0.0   ,0.1410256410256423   ,Generacion Silenciosa ,0.8672092234655815      ,Leon                   ,"0,759"          ,      0.11764705882352944 ,     0.0 ,0.2210526315789474    ,
CLI22    ,M      ,Si     ,0.4358974358974359  ,Si       ,Construccion     ,+20annos            ,Bajo       ,      0.0   ,0.5641025641025657   ,Generacion X          ,0.9492285520515429      ,Ceuta                  ,"0,622"          ,      0.11764705882352944 ,     0.0 ,0.03684210526315789   ,
CLI23    ,F      ,No     ,0.0                 ,No       ,Funcionario      ,<10annos            ,Bajo       ,      0.375 ,1.0                  ,Generacion Z          ,0.07806035944387929     ,Toledo                 ,"2,651"          ,      0.0                 ,     0.0 ,0.3263157894736842    ,
CLI24    ,M      ,Si     ,0.20512820512820512 ,Si       ,Artista          ,10-20annos          ,Bajo       ,      0.125 ,0.7948717948717956   ,Millennials           ,0.10221261444557478     ,Las Palmas             ,"0,916"          ,      0.0                 ,     0.0 ,0.5701754385964912    ,"0,5"
CLI25    ,F      ,No     ,0.2564102564102564  ,Si       ,Artista          ,10-20annos          ,Bajo       ,      0.125 ,0.7435897435897445   ,Millennials           ,0.17201593760596812     ,Albacete               ,"1,077"          ,      0.0                 ,     1.0 ,0.1842105263157895    ,
CLI26    ,F      ,Si     ,0.5641025641025641  ,No       ,Ejecutivo        ,+20annos            ,Medio      ,      0.25  ,0.4358974358974379   ,Generacion X          ,0.4255086469989828      ,Vizcaya                ,"0,876"          ,      0.0                 ,     0.0 ,0.3385964912280702    ,
CLI27    ,M      ,Si     ,0.5384615384615384  ,No       ,Artista          ,+20annos            ,Medio      ,      0.25  ,0.46153846153846345  ,Generacion X          ,0.9669125127161751      ,Ciudad Real            ,"1,737"          ,      1.0                 ,     1.0 ,0.46491228070175444   ,
CLI28    ,M      ,No     ,0.17948717948717952 ,No       ,Funcionario      ,10-20annos          ,Bajo       ,      0.875 ,0.8205128205128212   ,Millennials           ,0.05173787724652426     ,Huelva                 ,"1,974"          ,      0.0                 ,     0.0 ,0.8070175438596491    ,3
CLI29    ,M      ,Si     ,0.4358974358974359  ,Si       ,Artista          ,+20annos            ,Medio      ,      0.25  ,0.5641025641025657   ,Generacion X          ,0.1765598507968803      ,Avila                  ,"0,72"           ,      0.0                 ,     0.0 ,0.2807017543859649    ,
CLI30    ,M      ,No     ,0.2435897435897436  ,Si       ,Artista          ,10-20annos          ,Bajo       ,      0.0   ,0.756410256410259    ,Millennials           ,0.15173787724652427     ,Guadalajara            ,"1,008"          ,      0.0                 ,     0.0 ,0.01403508771929824   ,
CLI31    ,F      ,No     ,0.2435897435897436  ,No       ,Artista          ,10-20annos          ,Bajo       ,      0.375 ,0.756410256410259    ,Millennials           ,0.1426500508646999      ,Granada                ,"1,146"          ,      0.0                 ,     1.0 ,0.6017543859649123    ,3
CLI32    ,F      ,Si     ,0.3846153846153846  ,Si       ,Artista          ,+20annos            ,Bajo       ,      0.25  ,0.6153846153846168   ,Generacion X          ,0.8279331976941335      ,La Rioja               ,"1,17"           ,      0.29411764705882354 ,     0.0 ,0.6771929824561403    ,3
CLI33    ,F      ,Si     ,0.33333333333333337 ,No       ,Medico           ,+20annos            ,Bajo       ,      0.125 ,0.6666666666666679   ,Generacion X          ,0.39097999321804006     ,Alicante               ,"0,72"           ,      0.0                 ,     0.0 ,0.6859649122807017    ,3
CLI34    ,M      ,No     ,0.01282051282051283 ,No       ,Funcionario      ,<10annos            ,Bajo       ,      0.25  ,0.987179487179489    ,Generacion Z          ,0.04110715496778569     ,Lleida                 ,"1,512"          ,      0.0                 ,     1.0 ,0.24210526315789477   ,
CLI35    ,M      ,No     ,0.11538461538461542 ,No       ,Construccion     ,<10annos            ,Bajo       ,      0.0   ,0.8846153846153868   ,Millennials           ,0.1416327568667345      ,Alava                  ,"2,823"          ,      0.0                 ,     0.0 ,0.3315789473684211    ,
CLI36    ,F      ,Si     ,0.9102564102564101  ,No       ,Servicios        ,+20annos            ,Alto       ,      0.125 ,0.0897435897435912   ,Generacion Silenciosa ,0.5985842658528315      ,Leon                   ,"1,091"          ,      0.5294117647058822  ,     0.0 ,0.5385964912280702    ,"0,5"
CLI37    ,F      ,No     ,0.1282051282051282  ,Si       ,Funcionario      ,<10annos            ,Bajo       ,      0.375 ,0.8717948717948723   ,Millennials           ,0.07711088504577823     ,Badajoz                ,"1,261"          ,      0.0                 ,     0.0 ,0.21403508771929824   ,
CLI38    ,M      ,No     ,0.1923076923076923  ,No       ,Medico           ,10-20annos          ,Bajo       ,      0.0   ,0.8076923076923102   ,Millennials           ,0.08017124448965751     ,Zaragoza               ,"1,537"          ,      0.0                 ,     0.0 ,0.368421052631579     ,
CLI39    ,F      ,Si     ,0.14102564102564102 ,No       ,Funcionario      ,<10annos            ,Medio      ,      0.5   ,0.8589743589743613   ,Millennials           ,0.09656663275686675     ,Alicante               ,"1,054"          ,      0.0                 ,     0.0 ,0.5175438596491228    ,"0,5"
CLI40    ,F      ,Si     ,0.14102564102564102 ,Si       ,Artista          ,<10annos            ,Bajo       ,      0.125 ,0.8589743589743613   ,Millennials           ,0.08953882672092237     ,Sevilla                ,"0,87"           ,      0.0                 ,     0.0 ,0.8596491228070176    ,4
CLI41    ,M      ,Si     ,0.5384615384615384  ,Si       ,Artista          ,+20annos            ,Medio      ,      0.125 ,0.46153846153846345  ,Generacion X          ,0.317667005764666       ,Burgos                 ,"1,6"            ,      0.11764705882352944 ,     0.0 ,0.8122807017543859    ,3
CLI42    ,F      ,No     ,0.41025641025641024 ,Si       ,Artista          ,+20annos            ,Bajo       ,      0.0   ,0.5897435897435912   ,Generacion X          ,0.4402933197694134      ,Salamanca              ,"0,798"          ,      0.11764705882352944 ,     0.0 ,0.005263157894736838  ,
CLI43    ,F      ,No     ,0.05128205128205132 ,No       ,Funcionario      ,<10annos            ,Bajo       ,      0.125 ,0.9487179487179489   ,Generacion Z          ,0.04668531705662937     ,Teruel                 ,"2,996"          ,      0.0                 ,     1.0 ,0.5385964912280702    ,"0,5"
CLI44    ,F      ,No     ,0.1282051282051282  ,Si       ,Artista          ,<10annos            ,Bajo       ,      0.25  ,0.8717948717948723   ,Millennials           ,0.08990335707019328     ,Gerona                 ,"1,261"          ,      0.0                 ,     0.0 ,0.0175438596491228    ,
CLI45    ,F      ,Si     ,0.4358974358974359  ,Si       ,Artista          ,+20annos            ,Bajo       ,      0.125 ,0.5641025641025657   ,Generacion X          ,0.35004238724991527     ,Toledo                 ,"0,896"          ,      0.11764705882352944 ,     1.0 ,0.6298245614035087    ,3
CLI46    ,M      ,Si     ,0.3076923076923077  ,No       ,Ingeniero        ,+20annos            ,Bajo       ,      0.0   ,0.6923076923076934   ,Generacion X          ,0.111842997626314       ,Caceres                ,"1,629"          ,      0.0                 ,     1.0 ,0.41228070175438597   ,
CLI47    ,F      ,Si     ,0.858974358974359   ,No       ,Servicios        ,+20annos            ,Alto       ,      0.125 ,0.1410256410256423   ,Generacion Silenciosa ,0.3053407934893184      ,Zaragoza               ,"1,385"          ,      0.0                 ,     0.0 ,0.3385964912280702    ,
CLI48    ,M      ,Si     ,0.3205128205128205  ,Si       ,Artista          ,+20annos            ,Medio      ,      0.375 ,0.6794871794871824   ,Generacion X          ,0.44857578840284845     ,Guadalajara            ,"1,698"          ,      0.0                 ,     1.0 ,0.2754385964912281    ,
CLI49    ,F      ,No     ,0.15384615384615385 ,Si       ,Funcionario      ,10-20annos          ,Bajo       ,      0.0   ,0.8461538461538467   ,Millennials           ,0.09168362156663276     ,Toledo                 ,"0,801"          ,      0.0                 ,     1.0 ,0.4824561403508772    ,"0,5"
CLI50    ,M      ,No     ,0.01282051282051283 ,No       ,Funcionario      ,<10annos            ,Bajo       ,      0.375 ,0.987179487179489    ,Generacion Z          ,0.06487792472024415     ,Albacete               ,"2,306"          ,      0.0                 ,     0.0 ,0.3842105263157895    ,
CLI51    ,F      ,No     ,0.3846153846153846  ,Si       ,Ingeniero        ,+20annos            ,Bajo       ,      0.0   ,0.6153846153846168   ,Generacion X          ,0.12384706680230587     ,La Rioja               ,"1,17"           ,      0.0                 ,     0.0 ,0.6403508771929824    ,3
CLI52    ,F      ,Si     ,0.6025641025641025  ,No       ,Artista          ,+20annos            ,Medio      ,      0.125 ,0.3974358974358978   ,Generacion X          ,0.8085283146829434      ,Alicante               ,"1,561"          ,      0.5294117647058822  ,     1.0 ,0.21403508771929824   ,
CLI53    ,F      ,Si     ,0.2564102564102564  ,Si       ,Artista          ,10-20annos          ,Medio      ,      0.125 ,0.7435897435897445   ,Millennials           ,0.6049593082400815      ,Avila                  ,"1,56"           ,      0.11764705882352944 ,     0.0 ,0.5385964912280702    ,"0,5"
CLI54    ,M      ,Si     ,0.3076923076923077  ,Si       ,Artista          ,+20annos            ,Bajo       ,      0.0   ,0.6923076923076934   ,Generacion X          ,0.4023228212953544      ,Avila                  ,"1,79"           ,      0.11764705882352944 ,     1.0 ,0.5263157894736842    ,"0,5"
CLI55    ,F      ,Si     ,0.5512820512820513  ,Si       ,Otros            ,+20annos            ,Medio      ,      0.125 ,0.4487179487179489   ,Generacion X          ,0.6660562902678875      ,La Coruna              ,"0,974"          ,      0.11764705882352944 ,     0.0 ,0.17192982456140352   ,
CLI56    ,M      ,Si     ,0.8205128205128205  ,No       ,Negocios/empresa ,+20annos            ,Bajo       ,      0.0   ,0.1794871794871824   ,Generacion Silenciosa ,0.6399287894201424      ,Toledo                 ,"1,385"          ,      0.5294117647058822  ,     0.0 ,0.9122807017543859    ,4
CLI57    ,M      ,Si     ,0.1923076923076923  ,Si       ,Artista          ,10-20annos          ,Medio      ,      0.125 ,0.8076923076923102   ,Millennials           ,0.06191929467616142     ,Zamora                 ,"1,514"          ,      0.0                 ,     0.0 ,0.7578947368421052    ,3
CLI58    ,M      ,No     ,0.10256410256410259 ,Si       ,Funcionario      ,<10annos            ,Bajo       ,      0.375 ,0.8974358974358978   ,Millennials           ,0.13134113258731775     ,Huelva                 ,"2,237"          ,      0.0                 ,     0.0 ,0.650877192982456     ,3
CLI59    ,M      ,No     ,0.1923076923076923  ,Si       ,Medico           ,10-20annos          ,Bajo       ,      0.125 ,0.8076923076923102   ,Millennials           ,0.06820108511359785     ,Madrid                 ,"0,916"          ,      0.0                 ,     0.0 ,0.2736842105263158    ,
CLI60    ,F      ,Si     ,0.3846153846153846  ,Si       ,Artista          ,+20annos            ,Medio      ,      0.25  ,0.6153846153846168   ,Generacion X          ,0.5183706341132588      ,Segovia                ,"0,74"           ,      0.29411764705882354 ,     0.0 ,0.8649122807017543    ,4
CLI61    ,M      ,Si     ,0.7564102564102564  ,Si       ,Servicios        ,+20annos            ,Bajo       ,      0.0   ,0.2435897435897445   ,Generacion Silenciosa ,0.5549762631400474      ,Segovia                ,"1,58"           ,      0.11764705882352944 ,     0.0 ,0.9631578947368421    ,1
CLI62    ,M      ,Si     ,0.42307692307692313 ,Si       ,Artista          ,+20annos            ,Medio      ,      0.125 ,0.5769230769230802   ,Generacion X          ,0.09238724991522551     ,Burgos                 ,"0,72"           ,      0.0                 ,     0.0 ,0.06140350877192983   ,
CLI63    ,M      ,Si     ,0.5256410256410257  ,Si       ,Artista          ,+20annos            ,Medio      ,      0.125 ,0.47435897435897445  ,Generacion X          ,0.37621227534757545     ,Burgos                 ,"0,583"          ,      0.11764705882352944 ,     0.0 ,0.46666666666666673   ,
CLI64    ,M      ,Si     ,0.7820512820512819  ,Si       ,Servicios        ,+20annos            ,Alto       ,      0.25  ,0.21794871794871895  ,Generacion Silenciosa ,0.16354696507290606     ,Pontevedra             ,"0,818"          ,      0.0                 ,     1.0 ,0.24561403508771928   ,
CLI65    ,M      ,Si     ,0.5384615384615384  ,Si       ,Servicios        ,+20annos            ,Alto       ,      0.125 ,0.46153846153846345  ,Generacion X          ,0.7667344862665311      ,Guadalajara            ,"1,404"          ,      0.11764705882352944 ,     0.0 ,0.9491228070175438    ,1
CLI66    ,M      ,Si     ,0.5769230769230769  ,Si       ,Servicios        ,+20annos            ,Alto       ,      0.125 ,0.42307692307692335  ,Generacion X          ,0.544735503560529       ,Badajoz                ,"1,502"          ,      0.11764705882352944 ,     0.0 ,0.32456140350877194   ,
CLI67    ,M      ,No     ,0.10256410256410259 ,Si       ,Otros            ,<10annos            ,Bajo       ,      0.125 ,0.8974358974358978   ,Millennials           ,0.11724313326551375     ,Vizcaya                ,"2,168"          ,      0.0                 ,     0.0 ,0.6                   ,3
CLI68    ,M      ,Si     ,0.17948717948717952 ,Si       ,Medico           ,10-20annos          ,Medio      ,      0.125 ,0.8205128205128212   ,Millennials           ,0.12008307900983384     ,Sevilla                ,"0,939"          ,      0.0                 ,     0.0 ,0.9894736842105262    ,4
CLI69    ,M      ,No     ,0.1282051282051282  ,No       ,Artista          ,<10annos            ,Bajo       ,      0.375 ,0.8717948717948723   ,Millennials           ,0.1286792132926416      ,Guadalajara            ,"1,583"          ,      0.0                 ,     0.0 ,0.2736842105263158    ,
CLI70    ,M      ,Si     ,0.5512820512820513  ,Si       ,Artista          ,+20annos            ,Medio      ,      0.375 ,0.4487179487179489   ,Generacion X          ,0.2573499491353001      ,Huelva                 ,"1,033"          ,      0.0                 ,     0.0 ,0.008771929824561403  ,
CLI71    ,F      ,Si     ,0.2948717948717948  ,Si       ,Construccion     ,+20annos            ,Alto       ,      0.125 ,0.705128205128208    ,Millennials           ,0.6353255340793489      ,Salamanca              ,"0,824"          ,      0.11764705882352944 ,     0.0 ,0.2947368421052632    ,
CLI72    ,M      ,Si     ,0.1282051282051282  ,Si       ,Funcionario      ,<10annos            ,Bajo       ,      0.125 ,0.8717948717948723   ,Millennials           ,0.07641573414716854     ,Alicante               ,"1,813"          ,      0.0                 ,     0.0 ,0.7385964912280701    ,3
CLI73    ,F      ,Si     ,0.46153846153846156 ,Si       ,Otros            ,+20annos            ,Medio      ,      0.125 ,0.5384615384615401   ,Generacion X          ,0.9654035266191929      ,Leon                   ,"0,661"          ,      0.11764705882352944 ,     1.0 ,0.5210526315789473    ,"0,5"
CLI74    ,F      ,Si     ,0.41025641025641024 ,No       ,Artista          ,+20annos            ,Medio      ,      0.5   ,0.5897435897435912   ,Generacion X          ,0.29784672770430654     ,Burgos                 ,"0,837"          ,      0.0                 ,     0.0 ,0.6                   ,3
CLI75    ,F      ,No     ,0.20512820512820512 ,No       ,Funcionario      ,10-20annos          ,Bajo       ,      0.375 ,0.7948717948717956   ,Millennials           ,0.0889454052221092      ,Ciudad Real            ,"2,02"           ,      0.0                 ,     0.0 ,0.32456140350877194   ,
CLI76    ,M      ,Si     ,0.5384615384615384  ,Si       ,Artista          ,+20annos            ,Medio      ,      0.375 ,0.46153846153846345  ,Generacion X          ,0.40197524584604954     ,Teruel                 ,"1,326"          ,      0.29411764705882354 ,     0.0 ,0.3385964912280702    ,
CLI77    ,F      ,No     ,0.20512820512820512 ,No       ,Construccion     ,10-20annos          ,Bajo       ,      0.25  ,0.7948717948717956   ,Millennials           ,0.10887589013224822     ,Lleida                 ,"0,732"          ,      0.0                 ,     0.0 ,0.2017543859649123    ,
CLI78    ,F      ,No     ,0.2564102564102564  ,Si       ,Medico           ,10-20annos          ,Bajo       ,      0.125 ,0.7435897435897445   ,Millennials           ,0.7751356391997288      ,Soria                  ,"1,721"          ,      0.11764705882352944 ,     1.0 ,0.3842105263157895    ,
CLI79    ,M      ,Si     ,0.46153846153846156 ,No       ,Artista          ,+20annos            ,Bajo       ,      0.25  ,0.5384615384615401   ,Generacion X          ,0.14156493726687014     ,Granada                ,"1,17"           ,      0.0                 ,     1.0 ,0.6333333333333333    ,3
CLI80    ,M      ,Si     ,0.3846153846153846  ,Si       ,Ingeniero        ,+20annos            ,Medio      ,      0.125 ,0.6153846153846168   ,Generacion X          ,0.508833502882333       ,Alicante               ,"0,622"          ,      0.11764705882352944 ,     0.0 ,0.029824561403508774  ,
CLI81    ,F      ,No     ,0.4358974358974359  ,Si       ,Servicios        ,+20annos            ,Bajo       ,      0.0   ,0.5641025641025657   ,Generacion X          ,0.23795354357409293     ,Cadiz                  ,"1,248"          ,      0.11764705882352944 ,     0.0 ,0.4929824561403509    ,"0,5"
CLI82    ,M      ,No     ,0.16666666666666669 ,No       ,Funcionario      ,10-20annos          ,Bajo       ,      0.375 ,0.8333333333333357   ,Millennials           ,0.059994913530010185    ,Ceuta                  ,"1,813"          ,      0.0                 ,     0.0 ,0.5438596491228069    ,"0,5"
CLI83    ,F      ,No     ,0.11538461538461542 ,No       ,Funcionario      ,<10annos            ,Bajo       ,      0.25  ,0.8846153846153868   ,Millennials           ,0.09363343506273314     ,Badajoz                ,"2,72"           ,      0.0                 ,     1.0 ,0.33333333333333337   ,
CLI84    ,M      ,Si     ,0.6282051282051282  ,Si       ,Artista          ,+20annos            ,Bajo       ,      0.0   ,0.37179487179487225  ,Generacion X          ,0.2999576127500848      ,La Coruna              ,"0,72"           ,      0.11764705882352944 ,     0.0 ,0.9105263157894736    ,4
CLI85    ,M      ,Si     ,0.2435897435897436  ,No       ,Otros            ,10-20annos          ,Medio      ,      0.375 ,0.756410256410259    ,Millennials           ,0.09709223465581554     ,Caceres                ,"1,261"          ,      0.0                 ,     0.0 ,0.8456140350877193    ,4
CLI86    ,F      ,No     ,0.01282051282051283 ,No       ,Negocios/empresa ,<10annos            ,Bajo       ,      0.25  ,0.987179487179489    ,Generacion Z          ,0.020328925059342154    ,La Coruna              ,"1,754"          ,      0.0                 ,     0.0 ,0.2                   ,
CLI87    ,M      ,No     ,0.1923076923076923  ,No       ,Funcionario      ,10-20annos          ,Bajo       ,      0.5   ,0.8076923076923102   ,Millennials           ,0.16010512037978974     ,Barcelona              ,"1,905"          ,      0.0                 ,     0.0 ,0.49824561403508777   ,"0,5"
CLI88    ,M      ,Si     ,0.47435897435897434 ,Si       ,Artista          ,+20annos            ,Medio      ,      0.25  ,0.5256410256410255   ,Generacion X          ,0.22312648355374703     ,Caceres                ,"0,857"          ,      0.0                 ,     0.0 ,0.37719298245614036   ,
CLI89    ,F      ,Si     ,0.2564102564102564  ,Si       ,Artista          ,10-20annos          ,Bajo       ,      0.125 ,0.7435897435897445   ,Millennials           ,0.11827738216344524     ,Cuenca                 ,"2,066"          ,      0.0                 ,     0.0 ,0.3894736842105263    ,
CLI90    ,F      ,No     ,0.33333333333333337 ,No       ,Otros            ,+20annos            ,Bajo       ,      0.25  ,0.6666666666666679   ,Generacion X          ,0.10413699559172601     ,Ciudad Real            ,"0,818"          ,      0.0                 ,     0.0 ,0.7157894736842105    ,3
CLI91    ,M      ,Si     ,0.3076923076923077  ,No       ,Medico           ,+20annos            ,Medio      ,      0.125 ,0.6923076923076934   ,Generacion X          ,0.8330027127839945      ,Lleida                 ,"1,905"          ,      0.5294117647058822  ,     1.0 ,0.5017543859649123    ,"0,5"
CLI92    ,M      ,No     ,0.2948717948717948  ,Si       ,Otros            ,+20annos            ,Bajo       ,      0.25  ,0.705128205128208    ,Millennials           ,0.23852153272295695     ,Guadalajara            ,"1,882"          ,      0.0                 ,     0.0 ,0.46140350877192987   ,
CLI93    ,F      ,Si     ,0.41025641025641024 ,Si       ,Artista          ,+20annos            ,Medio      ,      0.375 ,0.5897435897435912   ,Generacion X          ,0.8220583248558835      ,Palencia               ,"1,17"           ,      0.29411764705882354 ,     0.0 ,0.1385964912280702    ,
CLI94    ,F      ,Si     ,0.6025641025641025  ,Si       ,Artista          ,+20annos            ,Alto       ,      0.125 ,0.3974358974358978   ,Generacion X          ,0.5028738555442522      ,Madrid                 ,"1,502"          ,      0.11764705882352944 ,     0.0 ,0.7736842105263158    ,1
CLI95    ,M      ,Si     ,0.1923076923076923  ,No       ,Otros            ,10-20annos          ,Bajo       ,      0.125 ,0.8076923076923102   ,Millennials           ,0.15456934554086132     ,Ceuta                  ,"2,043"          ,      0.0                 ,     0.0 ,0.02456140350877193   ,
CLI96    ,M      ,Si     ,0.5256410256410257  ,No       ,Artista          ,+20annos            ,Bajo       ,      0.0   ,0.47435897435897445  ,Generacion X          ,0.30478128179043745     ,Zamora                 ,"1,424"          ,      0.0                 ,     0.0 ,0.4578947368421053    ,
CLI97    ,M      ,Si     ,0.5641025641025641  ,Si       ,Artista          ,+20annos            ,Medio      ,      0.0   ,0.4358974358974379   ,Generacion X          ,0.1215412004069176      ,Vizcaya                ,"0,603"          ,      0.0                 ,     0.0 ,0.4701754385964912    ,
CLI98    ,F      ,No     ,0.28205128205128205 ,Si       ,Artista          ,+20annos            ,Bajo       ,      0.0   ,0.717948717948719    ,Millennials           ,0.41364869447270264     ,Baleares               ,"1,836"          ,      0.11764705882352944 ,     0.0 ,0.5280701754385965    ,"0,5"
CLI99    ,M      ,Si     ,0.6282051282051282  ,Si       ,Artista          ,+20annos            ,Alto       ,      0.125 ,0.37179487179487225  ,Generacion X          ,0.9115123770769753      ,Santa Cruz de Tenerife ,"1,189"          ,      0.11764705882352944 ,     0.0 ,0.8263157894736842    ,4
CLI100   ,M      ,Si     ,0.5641025641025641  ,Si       ,Medico           ,+20annos            ,Medio      ,      0.125 ,0.4358974358974379   ,Generacion X          ,0.7440742624618515      ,Alicante               ,"1,052"          ,      0.11764705882352944 ,     1.0 ,0.5789473684210525    ,"0,5"
CLI101   ,M      ,Si     ,0.16666666666666669 ,No       ,Ingeniero        ,10-20annos          ,Medio      ,      0.25  ,0.8333333333333357   ,Millennials           ,0.11874364191251272     ,Valencia               ,"1,169"          ,      0.0                 ,     1.0 ,0.21403508771929824   ,
CLI102   ,M      ,Si     ,0.5897435897435898  ,Si       ,Artista          ,+20annos            ,Medio      ,      0.375 ,0.41025641025641235  ,Generacion X          ,0.8399796541200408      ,Zamora                 ,"1,6"            ,      0.29411764705882354 ,     0.0 ,0.03684210526315789   ,
CLI103   ,M      ,Si     ,0.7051282051282051  ,No       ,Ejecutivo        ,+20annos            ,Alto       ,      0.75  ,0.2948717948717956   ,Generacion X          ,0.1401152933197694      ,Avila                  ,"1,482"          ,      0.0                 ,     1.0 ,0.19649122807017544   ,
